d_PVK_nm,R_total_peak_nm,R_total_valley_nm,R_total_peak_valley_spacing_nm,R_stack_peak_nm,R_stack_valley_nm,R_stack_peak_valley_spacing_nm,R_total_850nm,R_stack_850nm,R_total_900nm,R_stack_900nm,R_total_950nm,R_stack_950nm,R_total_1000nm,R_stack_1000nm,R_total_1050nm,R_stack_1050nm
680.0,927.0,1037.0,110.0,927.0,1037.0,110.0,0.5551295815951348,0.5462957687952061,0.7181225068016706,0.714601606246091,0.7403563971879075,0.7373719731351566,0.5834198410251733,0.5756835956242838,0.5510117997366994,0.542012041963075
685.0,932.0,1043.0,111.0,932.0,1043.0,111.0,0.5473295367604296,0.5381800511071416,0.6994461014793887,0.6954398586932509,0.7594930333297962,0.7569344896596859,0.5964060132513844,0.5891487796593772,0.5471967133001344,0.5380418032436746
690.0,937.0,1049.0,112.0,937.0,1049.0,112.0,0.5412259455114911,0.5318254999633234,0.6803479181410957,0.675812517966154,0.7758110395170126,0.77358950734582,0.6111793375307717,0.6044481042791895,0.5455706424528841,0.5363491920403658
695.0,942.0,840.0,102.0,942.0,840.0,102.0,0.5369961886839636,0.5274197964685059,0.6614817383425038,0.6563909084891223,0.7883530224326583,0.7863741964041416,0.6276287884096189,0.6214595691771053,0.5460758885734236,0.5368751396314961
700.0,947.0,845.0,102.0,947.0,845.0,102.0,0.5348591569119268,0.5251932366934449,0.6433375417351878,0.6376818024730849,0.7963346791335436,0.7945029361327381,0.6455968903701028,0.6400131398402802,0.5486504612786733,0.5395548318795521
705.0,952.0,850.0,102.0,952.0,850.0,102.0,0.5350771359751527,0.5254203671606359,0.6262655270168811,0.620050676776627,0.7992526332860085,0.7974732310777892,0.664865734532366,0.6598769268478166,0.5532302495853515,0.5443200901308581
710.0,957.0,856.0,101.0,957.0,856.0,101.0,0.5379515129765877,0.5284150052645551,0.6105059054738912,0.6037511326874995,0.7969569139622938,0.7951363965080679,0.6851424688388517,0.6807430400383103,0.5597497897131497,0.5511002952347537
715.0,962.0,861.0,101.0,962.0,861.0,101.0,0.5438081703505354,0.5345143202918178,0.5962182036105629,0.5889541534587049,0.7896685033750007,0.7877143130468871,0.7060459328409744,0.7022148249702215,0.5681417621216955,0.5598219909016822
720.0,967.0,866.0,101.0,967.0,866.0,101.0,0.5529667277025397,0.5440459491034813,0.5835069648477027,0.5757739850686273,0.7779377841519914,0.77575840558398,0.7270969806484084,0.7237980213297479,0.5783353065319378,0.5704072634364532
725.0,972.0,871.0,101.0,972.0,871.0,101.0,0.5656866972054544,0.5572711415347557,0.5724428083386642,0.5642894960004229,0.762556740817796,0.7600633040869598,0.7477159064194132,0.7448991872759344,0.5902532033827809,0.5827709582697489
730.0,977.0,876.0,101.0,977.0,876.0,101.0,0.5820847945209908,0.574298420372604,0.5630789410499812,0.5545610315937402,0.744448911880222,0.7415583513296756,0.7672309507716373,0.7648352125621272,0.6038079413427753,0.5968167681364149
735.0,982.0,881.0,101.0,982.0,881.0,101.0,0.6020238378675061,0.5949689980096198,0.5554637133991519,0.5466432969069376,0.7245625235293583,0.7212016273333058,0.7849016728365349,0.7828574710747032,0.6188966812573274,0.6124322216202456
740.0,987.0,886.0,101.0,987.0,886.0,101.0,0.6249878164870969,0.6187300436169187,0.5496499128812605,0.540594924998139,0.7037854467201698,0.6998948004640059,0.7999595268435862,0.7981926893697368,0.6353951467678476,0.6294826235470732
745.0,992.0,891.0,101.0,992.0,891.0,101.0,0.6499797784777941,0.6445343429892514,0.5457013788809835,0.5364852874135956,0.6828903543739897,0.6784273179205246,0.8116649845956263,0.8100996809372725,0.6531505323057608,0.6478040613757904
750.0,996.0,896.0,100.0,996.0,896.0,100.0,0.6755006942848191,0.6708256951705845,0.5436972954629633,0.5343988811773074,0.662509353897833,0.6574496158494373,0.8193762273423704,0.8179369698144725,0.6719736334522513,0.6671957064765329
755.0,1001.0,900.0,101.0,1001.0,900.0,101.0,0.6996685218892074,0.6956682458889554,0.5437342237776219,0.534437329793722,0.643131858082515,0.637469541942806,0.8226198130877141,0.8212319814985245,0.6916305857710957,0.6874118173621558
760.0,1006.0,907.0,99.0,1006.0,907.0,99.0,0.7204959385016408,0.7170344449273388,0.5459255859549323,0.5367186811373297,0.6251176448523362,0.6188642402112315,0.8211505230383112,0.8197395131803894,0.7118348546262485,0.7081540998802319
765.0,1011.0,912.0,99.0,1011.0,912.0,99.0,0.7362658877878505,0.7331861301407383,0.5503979096015066,0.5413732773915608,0.6087177736844894,0.6019002946519193,0.8149875779261151,0.8134772385005946,0.732240446450727,0.7290653911496484
770.0,1016.0,917.0,99.0,1016.0,917.0,99.0,0.7458727419015454,0.7430144818801411,0.5572826966099357,0.548535026595211,0.5940978961984991,0.5867566634100596,0.8044184269539405,0.8027298096617513,0.7524376842905227,0.7497259811893554
775.0,1021.0,921.0,100.0,1021.0,921.0,100.0,0.7489953638005605,0.7462073000292863,0.566702339618976,0.5583264770408738,0.5813605163562011,0.5735468777886648,0.7899684877890119,0.7880198936185444,0.7719532433172195,0.7696542060003264
780.0,1026.0,926.0,100.0,1026.0,926.0,100.0,0.7460497740441697,0.7431955172868707,0.5787482006927903,0.570835821951151,0.5705644066005716,0.5623386072886013,0.7723431338878095,0.7700519906499018,0.790256364000873,0.7883131324968993
785.0,1031.0,931.0,100.0,1031.0,931.0,100.0,0.7379746961363285,0.7349349484426719,0.5934490490463529,0.5860841141900156,0.561740521346052,0.5531698343169021,0.752354034945161,0.7496404889651868,0.8067730938421929,0.8051250626674703
790.0,863.0,936.0,73.0,863.0,936.0,73.0,0.7259595122729076,0.7226328276961773,0.610728967369828,0.6039819962477169,0.5549044172964042,0.5460615711637878,0.7308438194990177,0.7276353573580829,0.8209098739680611,0.8194950493969814
