Wavelength,n,k
1073.0,2.354724329107867,0.0
1074.0,2.35421082581434,0.0
1075.0,2.3536987548866297,0.0
1076.0,2.3531881110024315,0.0
1077.0,2.352678888864138,0.0
1078.0,2.352171083198701,0.0
1079.0,2.351664688757498,0.0
1080.0,2.3511597003161926,0.0
1081.0,2.3506561126746015,0.0
1082.0,2.3501539206565623,0.0
1083.0,2.349653119109797,0.0
1084.0,2.349153702905783,0.0
1085.0,2.348655666939621,0.0
1086.0,2.3481590061299022,0.0
1087.0,2.3476637154185824,0.0
1088.0,2.34716978977085,0.0
1089.0,2.346677224175001,0.0
1090.0,2.346186013642309,0.0
1091.0,2.3456961532069007,0.0
1092.0,2.34520763792563,0.0
1093.0,2.3447204628779525,0.0
1094.0,2.3442346231658036,0.0
1095.0,2.3437501139134733,0.0
1096.0,2.3432669302674847,0.0
1097.0,2.3427850673964716,0.0
1098.0,2.3423045204910604,0.0
1099.0,2.341825284763747,0.0
1100.0,2.341347355448778,0.0
