Wavelength_nm,ensemble_id,n_PVK,k_PVK,eps1,eps2
869.0,more_absorptive,2.4994546722659177,0.0,6.247273658711926,0.0
870.0,more_absorptive,2.498488308317673,0.0,6.242443826800108,0.0
871.0,more_absorptive,2.497525270922005,0.0,6.237632478894033,0.0
872.0,more_absorptive,2.4965655448282504,0.0,6.232839519623579,0.0
873.0,more_absorptive,2.4956091148730435,0.0,6.228064854237416,0.0
874.0,more_absorptive,2.4946559659797156,0.0,6.223308388598188,0.0
875.0,more_absorptive,2.4937060831577,0.0,6.218570029177717,0.0
876.0,more_absorptive,2.492759451501945,0.0,6.2138496830522785,0.0
877.0,more_absorptive,2.491816056192328,0.0,6.209147257897888,0.0
878.0,more_absorptive,2.490875882493074,0.0,6.204462661985651,0.0
