Wavelength_nm,R_front,T_front,R_stack,R_total,ensemble_id,d_PVK_nm,Delta_R_stack_vs_700nm,Delta_R_total_vs_700nm
461.0,0.04193131469631514,0.9580686853036848,0.0038710595118353463,0.04548512006062573,nominal,600.0,1.4614607051020162e-08,1.3419039553153045e-08
462.0,0.04193131469631514,0.9580686853036848,0.003799473196883505,0.045419390157327016,nominal,600.0,1.4478386313205444e-08,1.3293882709930482e-08
463.0,0.04193131469631514,0.9580686853036848,0.003755648661304226,0.04537915106211176,nominal,600.0,1.4075543935260226e-08,1.292395010454861e-08
464.0,0.04193131469631514,0.9580686853036848,0.00375587435147347,0.04537935828739057,nominal,600.0,1.3788066870971255e-08,1.2659993282870818e-08
465.0,0.04193131469631514,0.9580686853036848,0.003791011009144701,0.04541162027959445,nominal,600.0,1.3495555303052326e-08,1.2391450129878301e-08
466.0,0.04193131469631514,0.9580686853036848,0.003853747743572044,0.045469224516279036,nominal,600.0,1.3068921036508974e-08,1.1999783028349142e-08
467.0,0.04193131469631514,0.9580686853036848,0.003949086673725545,0.04555676434053389,nominal,600.0,1.2466131121303958e-08,1.1446397482628434e-08
468.0,0.04193131469631514,0.9580686853036848,0.004076158231211036,0.04567344202456348,nominal,600.0,1.1565994136389368e-08,1.0620005194694748e-08
469.0,0.04193131469631514,0.9580686853036848,0.00422453137766905,0.045809680498588794,nominal,600.0,1.0355373752934938e-08,9.508520443235469e-09
470.0,0.04193131469631514,0.9580686853036848,0.004390475519570363,0.04596205493579551,nominal,600.0,9.029231846577335e-09,8.290944653044363e-09
471.0,0.04193131469631514,0.9580686853036848,0.004589442908423948,0.04614475501508962,nominal,600.0,7.803429763475478e-09,7.165491498761778e-09
472.0,0.04193131469631514,0.9580686853036848,0.004837310579984968,0.04637236162020745,nominal,600.0,6.7218177430411474e-09,6.172430677686691e-09
473.0,0.04193131469631514,0.9580686853036848,0.0051217373195474175,0.04663354473225035,nominal,600.0,5.441505415530734e-09,4.9968799514799045e-09
474.0,0.04193131469631514,0.9580686853036848,0.005417048500130091,0.046904729391906264,nominal,600.0,3.5310497407958774e-09,3.242607946041254e-09
