Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,d_C60_bulk_nm,ensemble_id,d_BEMA_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
499.0,0.04193131469631514,0.9580686853036848,0.02356707467422663,0.06358482694708856,700.0,15.0,nominal,0.0,0.0,0.0
500.0,0.04193131469631514,0.9580686853036848,0.02472746260042681,0.0646521021212377,700.0,15.0,nominal,0.0,0.0,0.0
501.0,0.04193131469631514,0.9580686853036848,0.025853368472833975,0.06568776156151018,700.0,15.0,nominal,0.0,0.0,0.0
502.0,0.04193131469631514,0.9580686853036848,0.02688600031812488,0.06663770937781816,700.0,15.0,nominal,0.0,0.0,0.0
503.0,0.04193131469631514,0.9580686853036848,0.027910842357939978,0.0675805725589265,700.0,15.0,nominal,0.0,0.0,0.0
504.0,0.04193131469631514,0.9580686853036848,0.02901005628650437,0.06859194867417859,700.0,15.0,nominal,0.0,0.0,0.0
505.0,0.04193131469631514,0.9580686853036848,0.03018157564386772,0.06966995507833125,700.0,15.0,nominal,0.0,0.0,0.0
506.0,0.04193131469631514,0.9580686853036848,0.03140185782798806,0.07079294472894022,700.0,15.0,nominal,0.0,0.0,0.0
507.0,0.04193131469631514,0.9580686853036848,0.032631032923223426,0.0719242346038253,700.0,15.0,nominal,0.0,0.0,0.0
508.0,0.04193131469631514,0.9580686853036848,0.033828317087737966,0.07302628545425595,700.0,15.0,nominal,0.0,0.0,0.0
509.0,0.04193131469631514,0.9580686853036848,0.034981287482412624,0.07408765204159384,700.0,15.0,nominal,0.0,0.0,0.0
510.0,0.04193131469631514,0.9580686853036848,0.03609394169772565,0.0751120030330524,700.0,15.0,nominal,0.0,0.0,0.0
511.0,0.04193131469631514,0.9580686853036848,0.037208822125607305,0.07613849957804408,700.0,15.0,nominal,0.0,0.0,0.0
512.0,0.04193131469631514,0.9580686853036848,0.03837981862617431,0.07721676701503231,700.0,15.0,nominal,0.0,0.0,0.0
513.0,0.04193131469631514,0.9580686853036848,0.039583744686930385,0.07832546696166867,700.0,15.0,nominal,0.0,0.0,0.0
514.0,0.04193131469631514,0.9580686853036848,0.040749737852046226,0.07939934125191637,700.0,15.0,nominal,0.0,0.0,0.0
515.0,0.04193131469631514,0.9580686853036848,0.04186566724387335,0.08042720555315315,700.0,15.0,nominal,0.0,0.0,0.0
516.0,0.04193131469631514,0.9580686853036848,0.04297164510830636,0.08144599874622932,700.0,15.0,nominal,0.0,0.0,0.0
517.0,0.04193131469631514,0.9580686853036848,0.04408465343458488,0.0824713637599429,700.0,15.0,nominal,0.0,0.0,0.0
518.0,0.04193131469631514,0.9580686853036848,0.045194232565568565,0.08349366505510483,700.0,15.0,nominal,0.0,0.0,0.0
519.0,0.04193131469631514,0.9580686853036848,0.046301190677308895,0.0845136464714829,700.0,15.0,nominal,0.0,0.0,0.0
