sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
683.824622611418,2.01032382534553,683.824622611418,0.0445754338404262,,
683.04444314301,2.01062358232575,683.04444314301,0.0445474861327265,,
682.264263674599,2.01092436644208,682.264263674599,0.0445195473567269,,
681.484084206191,2.01122618242225,681.484084206191,0.0444916186631222,,
680.703904737784,2.01152903502119,680.703904737784,0.04446370121916,,
679.923725269375,2.01183292902122,679.923725269375,0.0444357962088397,,
679.143545800969,2.01213786923226,679.143545800969,0.0444079048331275,,
678.363366332559,2.012443860492,678.363366332559,0.0443800283101809,,
677.583186864151,2.01275090766608,677.583186864151,0.0443521678755893,,
676.803007395744,2.01305901564831,676.803007395744,0.0443243247825496,,
676.022827927337,2.01336818936084,676.022827927337,0.0442965003021575,,
675.242648458927,2.01367843375436,675.242648458927,0.044268695723579,,
674.46246899052,2.01398975380829,674.46246899052,0.0442409123543275,,
673.68228952211,2.01430215453099,673.68228952211,0.0442131515204762,,
672.902110053701,2.01461564095994,672.902110053701,0.0441854145669157,,
672.121930585294,2.01493021816196,672.121930585294,0.0441577028575871,,
671.341751116888,2.0152458912334,671.341751116888,0.0441300177757159,,
670.561571648478,2.01556266530032,670.561571648478,0.0441023607241003,,
669.781392180071,2.01588054551876,669.781392180071,0.0440747331253259,,
669.001212711662,2.01619953707486,669.001212711662,0.044047136422045,,
668.221033243255,2.01651964518513,668.221033243255,0.0440195720772314,,
667.440853774846,2.01684087509665,667.440853774846,0.0439920415744358,,
666.660674306436,2.01716323208726,666.660674306436,0.0439645464180763,,
665.880494838028,2.01748672146576,665.880494838028,0.043937088133679,,
665.100315369622,2.01781134857219,665.100315369622,0.0439096682681792,,
664.320135901213,2.01813711877796,664.320135901213,0.0438822883901777,,
663.539956432805,2.01846403748613,663.539956432805,0.0438549500902526,,
662.759776964396,2.0187921101316,662.759776964396,0.0438276549812158,,
661.979597495989,2.01912134218134,661.979597495989,0.0438004046984152,,
661.19941802758,2.01945173913461,661.19941802758,0.0437732009000421,,
660.419238559172,2.01978330652316,660.419238559172,0.0437460452673933,,
659.639059090762,2.02011604991151,659.639059090762,0.0437189395052191,,
658.858879622354,2.02044997489713,658.858879622354,0.043691885342001,,
658.078700153949,2.02078508711066,658.078700153949,0.0436648845302643,,
657.298520685539,2.02112139221621,657.298520685539,0.0436379388468963,,
656.518341217132,2.02145889591149,656.518341217132,0.0436110500934746,,
655.738161748722,2.02179760392815,655.738161748722,0.0435842200965747,,
654.957982280314,2.02213752203193,654.957982280314,0.043557450708114,,
654.177802811906,2.02247865602294,654.177802811906,0.0435307438056692,,
653.397623343497,2.0228210117359,653.397623343497,0.0435041012928198,,
