NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
729.8552112,2.057017992,729.8552112,0.029610655,,
729.0750318,2.057312474,729.0750318,0.029700726,,
728.2948523,2.057608258,728.2948523,0.029791361,,
727.5146728,2.057905352,727.5146728,0.029882565,,
726.7344934,2.058203765,726.7344934,0.029974344,,
725.9543139,2.058503505,725.9543139,0.030066702,,
725.1741344,2.05880458,725.1741344,0.030159644,,
724.393955,2.059106998,724.393955,0.030253177,,
723.6137755,2.059410769,723.6137755,0.030347306,,
722.833596,2.0597159,722.833596,0.030442036,,
722.0534166,2.0600224,722.0534166,0.030537372,,
721.2732371,2.060330278,721.2732371,0.030633322,,
720.4930576,2.060639542,720.4930576,0.030729889,,
719.7128782,2.060950202,719.7128782,0.030827081,,
718.9326987,2.061262266,718.9326987,0.030924903,,
718.1525192,2.061575744,718.1525192,0.03102336,,
717.3723398,2.061890643,717.3723398,0.03112246,,
716.5921603,2.062206974,716.5921603,0.031222207,,
715.8119808,2.062524746,715.8119808,0.031322609,,
715.0318013,2.062843967,715.0318013,0.031423672,,
714.2516219,2.063164647,714.2516219,0.031525401,,
713.4714424,2.063486796,713.4714424,0.031627804,,
712.6912629,2.063810423,712.6912629,0.031730886,,
711.9110835,2.064135538,711.9110835,0.031834654,,
711.130904,2.064462149,711.130904,0.031939116,,
710.3507245,2.064790268,710.3507245,0.032044277,,
709.5705451,2.065119903,709.5705451,0.032150145,,
708.7903656,2.065451065,708.7903656,0.032256726,,
708.0101861,2.065783764,708.0101861,0.032364028,,
707.2300067,2.066118009,707.2300067,0.032472057,,
706.4498272,2.066453811,706.4498272,0.032580821,,
705.6696477,2.06679118,705.6696477,0.032690327,,
704.8894683,2.067130127,704.8894683,0.032800583,,
704.1092888,2.067470661,704.1092888,0.032911595,,
703.3291093,2.067812793,703.3291093,0.033023371,,
702.5489299,2.068156534,702.5489299,0.033135919,,
701.7687504,2.068501894,701.7687504,0.033249247,,
700.9885709,2.068848884,700.9885709,0.033363363,,
700.2083914,2.069197516,700.2083914,0.033478274,,
699.428212,2.069547799,699.428212,0.033593989,,
698.6480325,2.069899745,698.6480325,0.033710515,,
