Wavelength_nm,R_front,T_front,R_stack,R_total,d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
729.0,0.04193131469631514,0.9580686853036848,0.06039404727955016,0.09750748650590108,13.0,693.5,8.5,0.00020951582035926009,0.0001932896917917759
730.0,0.04193131469631514,0.9580686853036848,0.06064390478317055,0.0977379980368086,13.0,693.5,8.5,0.00019867689062344485,0.00018329412598760975
731.0,0.04193131469631514,0.9580686853036848,0.06075941781524269,0.0978445687599538,13.0,693.5,8.5,0.00018745820015588638,0.0001729458154711011
732.0,0.04193131469631514,0.9580686853036848,0.060719637700574654,0.09780786806040648,13.0,693.5,8.5,0.0001742476314498531,0.00016075751626587476
733.0,0.04193131469631514,0.9580686853036848,0.060646300001724135,0.09774020782175612,13.0,693.5,8.5,0.00016152421893113333,0.00014901830124311455
734.0,0.04193131469631514,0.9580686853036848,0.06053315028039701,0.0976358184387977,13.0,693.5,8.5,0.0001524628070992129,0.00014065717937260247
735.0,0.04193131469631514,0.9580686853036848,0.0601506548584996,0.0972829441349605,13.0,693.5,8.5,0.00014374128296250344,0.0001326067717319912
736.0,0.04193131469631514,0.9580686853036848,0.059377902799236604,0.09657006997423534,13.0,693.5,8.5,0.000128444367016603,0.00011848716615334154
737.0,0.04193131469631514,0.9580686853036848,0.05845538270175737,0.09571909342993845,13.0,693.5,8.5,0.0001082691075966688,9.986826222395384e-05
738.0,0.04193131469631514,0.9580686853036848,0.05777192190428369,0.0950886791462798,13.0,693.5,8.5,9.223328355849325e-05,8.507186336230432e-05
739.0,0.04193131469631514,0.9580686853036848,0.05741664463926498,0.09476099088007459,13.0,693.5,8.5,8.326368963387787e-05,7.679644561298105e-05
740.0,0.04193131469631514,0.9580686853036848,0.05707362469755208,0.09444461738278295,13.0,693.5,8.5,7.595449957017997e-05,7.005297525915222e-05
741.0,0.04193131469631514,0.9580686853036848,0.0562703273955123,0.09370375744643869,13.0,693.5,8.5,6.25478069877991e-05,5.7684095067289665e-05
742.0,0.04193131469631514,0.9580686853036848,0.05564859302203274,0.09313038255859234,13.0,693.5,8.5,5.0495563009442246e-05,4.656662233273878e-05
743.0,0.04193131469631514,0.9580686853036848,0.05521708805697735,0.09273245834945386,13.0,693.5,8.5,3.9512683538849014e-05,3.6436989988161694e-05
744.0,0.04193131469631514,0.9580686853036848,0.05498902664204944,0.09252215105322159,13.0,693.5,8.5,2.9357321755740795e-05,2.707162090039017e-05
745.0,0.04193131469631514,0.9580686853036848,0.05498334650851566,0.09251691315802163,13.0,693.5,8.5,1.9822873244763894e-05,1.827950359112318e-05
746.0,0.04193131469631514,0.9580686853036848,0.05522608352835621,0.09274075362427311,13.0,693.5,8.5,1.073225738430772e-05,9.89687079042123e-06
747.0,0.04193131469631514,0.9580686853036848,0.0557520227681983,0.09322576529718836,13.0,693.5,8.5,1.934139911702326e-06,1.783668194255128e-06
748.0,0.04193131469631514,0.9580686853036848,0.056606706492001446,0.09401398493583576,13.0,693.5,8.5,-6.699147752954604e-06,-6.178415301635876e-06
749.0,0.04193131469631514,0.9580686853036848,0.05784888025585338,0.09515966259907273,13.0,693.5,8.5,-1.527214843772412e-05,-1.4086502741178508e-05
750.0,0.04193131469631514,0.9580686853036848,0.05955345198305348,0.09673201239021281,13.0,693.5,8.5,-2.386544585022271e-05,-2.201582640748434e-05
751.0,0.04193131469631514,0.9580686853036848,0.061815019213271885,0.09881849993428944,13.0,693.5,8.5,-3.2533651687711995e-05,-3.0017947234353692e-05
752.0,0.04193131469631514,0.9580686853036848,0.0647519749451862,0.10152868288918261,13.0,693.5,8.5,-4.130252625730857e-05,-3.811818425489277e-05
753.0,0.04193131469631514,0.9580686853036848,0.06851112626498627,0.10499855358239592,13.0,693.5,8.5,-5.016561827972388e-05,-4.6312605661485984e-05
754.0,0.04193131469631514,0.9580686853036848,0.07327263048220291,0.1093952175293934,13.0,693.5,8.5,-5.9080960831695006e-05,-5.4565067372502885e-05
755.0,0.04193131469631514,0.9580686853036848,0.07925483860923277,0.11492154828384879,13.0,693.5,8.5,-6.796850869872362e-05,-6.280491430961377e-05
756.0,0.04193131469631514,0.9580686853036848,0.0867183509898417,0.12182020113308165,13.0,693.5,8.5,-7.67089107511082e-05,-7.092586493125108e-05
