family,Wavelength_nm,mean_deltaR_total,std_deltaR_total
thickness_nuisance,778.0,-0.019688719327457943,0.02328767352855046
thickness_nuisance,779.0,-0.020924232643200317,0.022357618383294683
thickness_nuisance,780.0,-0.02226504611555223,0.021793270464313473
thickness_nuisance,781.0,-0.023636697319330095,0.021793770040335652
thickness_nuisance,782.0,-0.02496744253543925,0.02244499845398836
thickness_nuisance,783.0,-0.026234517956156375,0.023736471682991124
thickness_nuisance,784.0,-0.02741361846890655,0.02559975457000261
thickness_nuisance,785.0,-0.028479355025988546,0.02793425202428251
thickness_nuisance,786.0,-0.029405812990646773,0.030632366531817928
thickness_nuisance,787.0,-0.030167201672027612,0.03359447338825917
thickness_nuisance,788.0,-0.03073857953187001,0.036734366910543395
thickness_nuisance,789.0,-0.03109663315958618,0.039979364823994036
thickness_nuisance,790.0,-0.031220482785281917,0.043268400397979655
thickness_nuisance,791.0,-0.03109248127707888,0.04654980410599685
thickness_nuisance,792.0,-0.03069897073649743,0.0497794046148278
thickness_nuisance,793.0,-0.030030961948757352,0.052919085961637226
thickness_nuisance,794.0,-0.02908469462300336,0.055935742494656424
thickness_nuisance,795.0,-0.02786204363800342,0.05880053725466154
thickness_nuisance,796.0,-0.026370741597187216,0.0614883768214853
thickness_nuisance,797.0,-0.024624395680762617,0.06397753514765116
thickness_nuisance,798.0,-0.022642286730085334,0.06624937827277692
thickness_nuisance,799.0,-0.020448950551023058,0.06828815727134713
thickness_nuisance,800.0,-0.01807355396725993,0.07008084791544057
thickness_nuisance,801.0,-0.015549090868473173,0.07161702300376825
thickness_nuisance,802.0,-0.012911434040698092,0.07288874824637757
thickness_nuisance,803.0,-0.010198288326203182,0.07389049317783686
thickness_nuisance,804.0,-0.007448095121025006,0.07461905396514922
thickness_nuisance,805.0,-0.004698940921655054,0.07507348413015284
thickness_nuisance,806.0,-0.0019875197435406506,0.07525502883797763
thickness_nuisance,807.0,0.0006518057529130153,0.07516705872735224
thickness_nuisance,808.0,0.0031878077091841636,0.07481499961354907
thickness_nuisance,809.0,0.005593034647807228,0.07420625407930082
thickness_nuisance,810.0,0.007844276036778258,0.07335011061589342
thickness_nuisance,811.0,0.009922844970245436,0.07225763731985152
thickness_nuisance,812.0,0.011814684860356453,0.0709415557578379
thickness_nuisance,813.0,0.013510313210465913,0.06941609749833234
thickness_nuisance,814.0,0.015004624002978322,0.06769683842173567
thickness_nuisance,815.0,0.016296572864693163,0.0658005121296174
thickness_nuisance,816.0,0.017388771957771387,0.06374480452447416
thickness_nuisance,817.0,0.01828702185445065,0.061548132688817446
thickness_nuisance,818.0,0.018999806462936714,0.05922941331189947
thickness_nuisance,819.0,0.019537774862263064,0.05680782594197572
thickness_nuisance,820.0,0.019913230594089705,0.0543025782501846
thickness_nuisance,821.0,0.020139645366192997,0.05173268018974053
thickness_nuisance,822.0,0.020231210199938867,0.04911673427929302
thickness_nuisance,823.0,0.02020243371117409,0.04647275246872332
thickness_nuisance,824.0,0.020067793290193953,0.04381800379364539
thickness_nuisance,825.0,0.019841441809945008,0.041168899474515463
thickness_nuisance,826.0,0.019536970038317034,0.03854092248841876
thickness_nuisance,827.0,0.019167222583586167,0.03594860670369764
thickness_nuisance,828.0,0.018744163726511862,0.03340557213426827
thickness_nuisance,829.0,0.018278788234900673,0.030924622649258833
thickness_nuisance,830.0,0.017781071494932833,0.02851791418460685
thickness_nuisance,831.0,0.017259953489341825,0.026197205835414995
thickness_nuisance,832.0,0.016723350960311585,0.02397420766007701
thickness_nuisance,833.0,0.01617818911833769,0.02186102868070891
thickness_nuisance,834.0,0.01563045053475302,0.019870750645197548
thickness_nuisance,835.0,0.015085236203879738,0.018018122082520426
thickness_nuisance,836.0,0.01454683423905912,0.01632032130694976
thickness_nuisance,837.0,0.014018792828074242,0.014797632659815912
thickness_nuisance,838.0,0.013503994485775455,0.013473675397446257
thickness_nuisance,839.0,0.013004729468513445,0.012374526806634678
thickness_nuisance,840.0,0.0125227665690708,0.011525861611220711
thickness_nuisance,841.0,0.012059419810695032,0.01094759565556804
thickness_nuisance,842.0,0.011615610038135058,0.0106470569909996
thickness_nuisance,843.0,0.01119192283097731,0.010613873082663672
thickness_nuisance,844.0,0.010788660558555919,0.010820101889891576
thickness_nuisance,845.0,0.010405888610312428,0.011226046650838168
thickness_nuisance,846.0,0.01004347641735763,0.011788414238720124
thickness_nuisance,847.0,0.00970113339991175,0.012466921261728764
thickness_nuisance,848.0,0.009378440198336188,0.013227729436561473
thickness_nuisance,849.0,0.00907487553268407,0.014044227559263526
thickness_nuisance,850.0,0.008789839123919637,0.014896353064537455
thickness_nuisance,851.0,0.008522671082108264,0.01576939356103304
thickness_nuisance,852.0,0.008272668200951142,0.016652772943898293
thickness_nuisance,853.0,0.008039097154973408,0.017539019562099415
thickness_nuisance,854.0,0.007821205340833094,0.018422955505639514
thickness_nuisance,855.0,0.007618229607991933,0.019301083996786175
thickness_nuisance,856.0,0.007429403142999725,0.02017113502099175
thickness_nuisance,857.0,0.007253960731274136,0.021031730788537
