Wavelength_nm,Glass_PVK_Counts,Glass_Ag_Counts,Glass_PVK_CountsPerMs,Glass_Ag_CountsPerMs,Valid_Loose,Valid_Strict,Mask_Reason,Exposure_Source,R_Exp_GlassPVK_by_GlassAg,R_TMM_GlassAg,R_TMM_GlassPVK_Fixed,R_TMM_GlassPVK_BestD,Residual_Fixed,Residual_BestD
840.3922508665365,62.34000015258789,137.60000610351565,3.1170000076293944,6.880000305175782,True,True,ok,filename_inference,0.4489106058914918,0.9908582284152905,0.2342516725314613,0.11921665479965081,0.21465893336003047,0.32969395109184096
840.8111572517173,61.2400016784668,135.6999969482422,3.0620000839233397,6.784999847412109,True,True,ok,filename_inference,0.447166270026485,0.990863158308621,0.23126237892567203,0.12071694293978032,0.21590389110081298,0.3264493270867047
841.2300525883321,71.76000213623047,141.4499969482422,3.5880001068115233,7.072499847412109,True,True,ok,filename_inference,0.5026843302304442,0.990868100059962,0.22827160628339196,0.12223548484851295,0.2744127239470523,0.3804488453819313
841.6489368709763,49.459999084472656,122.9499969482422,2.4729999542236327,6.14749984741211,True,True,ok,filename_inference,0.3986057860166799,0.9908730505756945,0.225280118041831,0.12377180606164231,0.17332566797484888,0.27483397995503756
842.0678100942449,67.33999633789062,138.25,3.3669998168945314,6.9125,True,True,ok,filename_inference,0.48264535917222184,0.9908780002118098,0.22228811875660737,0.12532570854960623,0.2603572404156145,0.3573196506226156
842.4866722527344,67.94000244140625,142.8000030517578,3.3970001220703123,7.1400001525878904,True,True,ok,filename_inference,0.47143270142970795,0.9908829670843813,0.21929871477916493,0.12689565823941615,0.252133986650543,0.34453704319029177
842.9055233410425,61.34000015258789,138.75,3.0670000076293946,6.9375,True,True,ok,filename_inference,0.43806173475519883,0.9908879286939409,0.21631050830143414,0.12848223125971467,0.2217512264537647,0.30957950349548413
843.3243633537651,60.41999816894531,132.8000030517578,3.0209999084472656,6.6400001525878904,True,True,ok,filename_inference,0.4508264004790329,0.990892902578743,0.2133269123679235,0.13008375424385957,0.23749948811110938,0.32074264623517335
843.7431922855008,62.34000015258789,135.5,3.1170000076293944,6.775,True,True,ok,filename_inference,0.4558861531993709,0.9908978762803297,0.21034742930243774,0.13170041669080462,0.24553872389693318,0.3241857365085663
844.162010130848,60.959999084472656,134.8000030517578,3.047999954223633,6.740000152587891,True,True,ok,filename_inference,0.44811153986612723,0.9909028518484334,0.20737367394985545,0.13333141555398764,0.24073786591627178,0.3147801243121396
844.5808168844051,61.02000045776367,130.89999389648438,3.0510000228881835,6.544999694824218,True,True,ok,filename_inference,0.4619190165777466,0.9909078334496145,0.20440746278676505,0.13497584874750085,0.25751155379098156,0.32694316783024574
844.9996125407716,62.52000045776367,134.64999389648438,3.1260000228881837,6.732499694824218,True,True,ok,filename_inference,0.4600955969316839,0.9909128097416295,0.20144816758143114,0.13663403694827214,0.25864742935025276,0.32346155998341175
845.4183970945476,50.65999984741211,118.9499969482422,2.5329999923706055,5.94749984741211,True,True,ok,filename_inference,0.4220251923907618,0.9909177950683873,0.19849986542635156,0.1383039649355486,0.22352532696441024,0.2837212274552132
845.8371705403332,69.0999984741211,135.25,3.4549999237060547,6.7625,True,True,ok,filename_inference,0.5062681127273351,0.990922775085387,0.19556084762540127,0.13998652943062562,0.3107072651019338,0.36628158329670946
846.2559328727287,55.91999816894531,127.4499969482422,2.7959999084472655,6.37249984741211,True,True,ok,filename_inference,0.4347797538689519,0.9909277560478957,0.19263406525224253,0.14168028794081827,0.24214568861670938,0.29309946592813363
846.6746840863358,64.62000274658203,131.25,3.2310001373291017,6.5625,True,True,ok,filename_inference,0.48787867505238985,0.9909327356692683,0.18972008210689564,0.14338501891663583,0.2981585929454942,0.344493656135754
847.0934241757568,46.15999984741211,116.0500030517578,2.3079999923706054,5.80250015258789,True,True,ok,filename_inference,0.3941549625295511,0.9909377113436956,0.1868196382279075,0.14510043182194393,0.20733532430164361,0.2490545307076072
847.5121531355936,63.400001525878906,133.5500030517578,3.1700000762939453,6.677500152587891,True,True,ok,filename_inference,0.4704288011924763,0.9909426864799912,0.18393550896821834,0.14682516847769805,0.286493292224258,0.32360363271477827
847.9308709604485,58.560001373291016,129.8000030517578,2.928000068664551,6.490000152587891,True,True,ok,filename_inference,0.4470716082388035,0.990947656299376,0.18106673944442658,0.14855986052503686,0.2660048687943769,0.29851174771376665
848.349577644926,66.16000366210938,131.1999969482422,3.308000183105469,6.55999984741211,True,True,ok,filename_inference,0.49970602638517564,0.9909526225480108,0.17821687473803166,0.1503027405393344,0.321489151647144,0.34940328584584124
