Wavelength_nm,n_Glass,k_Glass,n_ITO,k_ITO,n_NiOx,k_NiOx,n_PVK,k_PVK,n_C60,k_C60,n_SnOx,k_SnOx,n_Ag,k_Ag
610,1.515,0.0,2.0439819035839513,0.0421946925097616,2.0468715244067037,0.2417458922084997,2.717105837941969,0.3997311611008174,2.124336112217038,0.0554873184587076,1.878682871537404,0.0309594090596454,0.048614,4.081444
611,1.515,0.0,2.0434430031020017,0.0422192124802151,2.04687442723542,0.2419328208661411,2.7181137968436824,0.3985523779368545,2.12351208294248,0.0550923965373637,1.8786525133306688,0.0309016338149372,0.0485402520425256,4.089800516230416
612,1.515,0.0,2.042906742010864,0.0422440983951407,2.046880003191965,0.242119037838601,2.7187744021370244,0.3971282386202843,2.1226942490497773,0.0547027594621558,1.8786223069285757,0.0308440843048339,0.0484636357997197,4.098159451072329
613,1.515,0.0,2.0423731030987193,0.0422693417605409,2.046888226131931,0.2423045356220294,2.717576372458441,0.3944805079908189,2.1218825510167845,0.0543183089635535,1.878592251317058,0.030786759165734,0.0483865475417043,4.106518337860562
614,1.515,0.0,2.0418420692914445,0.0422949342291286,2.046899070122405,0.242489306908727,2.714054090388963,0.3896547940647351,2.1210769314568463,0.0539389486659675,1.878562345490544,0.0307296570452404,0.0483113835386017,4.114874709929932
615,1.515,0.0,2.041313623650947,0.0423208675973853,2.0469125094401988,0.2426733445832717,2.710714,0.3837080163018332,2.120277331139893,0.0535645859128968,1.8785325884518405,0.0306727766020266,0.0482405400605342,4.123226100615261
616,1.515,0.0,2.040787749373657,0.0423471338027231,2.0469285185699984,0.2428566417188082,2.709822551980549,0.379733312026916,2.119483693885367,0.0531951293079741,1.878502979212048,0.0306161165056795,0.048176413377624,4.1315700432513704
617,1.515,0.0,2.040264429789655,0.0423737249214281,2.046947072203684,0.243039191574297,2.710589354527839,0.378534572049767,2.118695960607116,0.0528304900238329,1.8784735167905096,0.0305596754366127,0.0481213997599932,4.139904071173079
618,1.515,0.0,2.039743648361808,0.0424006331665615,2.046968145239511,0.2432209875918137,2.7114845872428,0.3775067873307161,2.1179140767022,0.0524705801683804,1.8784442002146955,0.0305034520860042,0.0480778954777641,4.1482257177152055
619,1.515,0.0,2.0392253886840237,0.0424278508850206,2.0469917127799486,0.2434020233926063,2.7111189319863933,0.3749887582072347,2.1171379846929614,0.0521153144952308,1.878415028520166,0.0304474451556178,0.048048296801059,4.156532516212573
620,1.515,0.0,2.038709634479987,0.0424553705552193,2.0470177501303235,0.2435822927740114,2.708435191320932,0.3717335554053218,2.116367630108314,0.0517646091150491,1.8783860007504063,0.0303916533577024,0.048035,4.164822
621,1.515,0.0,2.0381963696026673,0.042483184785376,2.0470462327984347,0.2437617897071973,2.7046847419111266,0.3686625667582688,2.115602956307571,0.0514183841266283,1.878357115956839,0.0303360754149264,0.0480396045301325,4.17309251154982
622,1.515,0.0,2.037685578032814,0.0425112863110318,2.047077136492859,0.2439405083338528,2.702069194149846,0.366359432397942,2.114843910824136,0.0510765584585584,1.8783283731987153,0.0302807100602644,0.0480605225886946,4.1813456298844125
623,1.515,0.0,2.037177243877537,0.0425396679925275,2.0471104371210846,0.2441184429627737,2.700641027340019,0.3650463543557958,2.1140904379948555,0.0507390554579019,1.8782997715430148,0.0302255560368428,0.0480953695583474,4.18958374316367
624,1.515,0.0,2.036671351369343,0.0425683228130707,2.0471461107885953,0.2442955880673228,2.6990757849490703,0.3637094398570723,2.11334248399107,0.050405798369865,1.878271310064379,0.0301706120978655,0.0481417608217523,4.1978092395474835
625,1.515,0.0,2.036167884865489,0.0425972438770728,2.0471841337982424,0.2444719382831293,2.69723843865763,0.3612928796728757,2.1125999980131507,0.050076711734681,1.8782429878450684,0.0301158770065606,0.0481973117615703,4.206024507195744
626,1.515,0.0,2.0356668288462907,0.0426264244074964,2.0472244826480623,0.2446474884045683,2.6960765907012525,0.3583742811906337,2.111862924654538,0.0497517242145134,1.8782148039748443,0.0300613495360126,0.0482596377604627,4.214231934268348
627,1.515,0.0,2.0351681679139313,0.0426558577437956,2.0472671340298225,0.24482223338194,2.6959998406345935,0.3559426894679224,2.1111312142709178,0.0494307633906798,1.8781867575508884,0.0300070284690639,0.0483263542010906,4.222433908925182
628,1.515,0.0,2.034671886791908,0.0426855373403803,2.047312064828563,0.2449961683194009,2.69670394631953,0.3533020421167891,2.1104048138971794,0.04911375985622,1.878158847677803,0.0299529125982662,0.0483950764661153,4.23063281932614
629,1.515,0.0,2.0341779703237903,0.0427154567645442,2.0473592521210766,0.2451692884721532,2.6972871795295084,0.3490738576920435,2.109683672894436,0.0488006464013933,1.8781310734674577,0.0298990007257585,0.0484634199381981,4.238831053631116
630,1.515,0.0,2.0336864034717834,0.042745609694187,2.047408673174006,0.2453415892433246,2.695933562536345,0.3445853719376471,2.1089677407896485,0.0484913542279326,1.878103434038959,0.0298452916631616,0.048529,4.247031
631,1.515,0.0,2.0331971713158152,0.0427759899160708,2.047460305442739,0.2455130661816123,2.692228452658554,0.3429739188855467,2.108256967382115,0.0481858198965793,1.8780759285185609,0.0297917842314644,0.0485899468369442,4.255234635570305
632,1.515,0.0,2.032710259052924,0.0428065913243955,2.047514126570956,0.245683714979317,2.6891494425697617,0.3436404941116933,2.1075513044855896,0.0478839780133484,1.878048556039612,0.029738477261003,0.0486464498455018,4.263442293390022
633,1.515,0.0,2.032225651995773,0.0428374079185316,2.0475701143884204,0.2458535314692267,2.688839558052495,0.3422618023076401,2.10685070128302,0.0475857666149224,1.878021315742493,0.0296853695913024,0.0486992132249057,4.271653895484763
634,1.515,0.0,2.0317433355714436,0.042868433801102,2.047628246909557,0.2460225116220301,2.689291789718559,0.3377843565158154,2.1061551094536823,0.0472911250708083,1.8779942067745048,0.0296324600709871,0.048748941174389,4.27986936388014
635,1.515,0.0,2.031263295320856,0.0428996631766512,2.047688502332841,0.2461906515444101,2.6882554166663732,0.3339113683383007,2.1054644822008024,0.0469999917587435,1.8779672282898376,0.0295797475577161,0.0487963378931844,4.288088620601763
636,1.515,0.0,2.0307855168977555,0.0429310903498947,2.047750859039474,0.2463579474766785,2.6860807710754835,0.3325628349736344,2.1047787717268527,0.046712309833684,1.877940379449536,0.0295272309181144,0.0488421075805252,4.2963115876752465
637,1.515,0.0,2.030309986067299,0.0429627097236539,2.0478152955914406,0.2465243957899188,2.683817012178235,0.331523532544882,2.1040979307376477,0.0464280211109705,1.877913659421339,0.0294749090276197,0.0488869544356441,4.3045381871262
638,1.515,0.0,2.029836688705129,0.0429945157973096,2.047881790730377,0.2466899929838328,2.682316448558541,0.3290437288937447,2.1034219124383577,0.0461470696320419,1.8778870673796997,0.0294227807704392,0.0489315826577742,4.312768340980235
639,1.515,0.0,2.0293656107969036,0.0430265031655724,2.0479503233770537,0.2468547356850099,2.6821789511258243,0.3259504960754913,2.102750671482971,0.0458693996713803,1.877860602505697,0.0293708450394689,0.0489766964461485,4.321001971262965
640,1.515,0.0,2.028896738436847,0.0430586665164942,2.048020872629427,0.2470186206442164,2.682379220804158,0.3232006893931866,2.102084161061698,0.0455949578475078,1.8778342639869536,0.0293191007361923,0.049023,4.329239000000001
641,1.515,0.0,2.028430057826664,0.0430910006298018,2.0480934177610557,0.2471816447340173,2.681176196937311,0.3205325347314444,2.1014223384032573,0.0453236905575606,1.877808051017576,0.0292675467705856,0.0490710081220905,4.337479018168963
642,1.515,0.0,2.0279655552748856,0.0431235003755937,2.0481679382204123,0.247343804947013,2.679160670549215,0.3175594332164454,2.1007651569453603,0.0450555476212752,1.8777819627981296,0.0292161820610545,0.049120478029298,4.3457202925555025
