Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_front_nm,ensemble_id,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
555.0,0.04193131469631514,0.9580686853036848,0.07341340893638341,0.1095252359333724,0.0,nominal,0.0,0.0
556.0,0.04193131469631514,0.9580686853036848,0.07385836772268164,0.10993619552864445,0.0,nominal,0.0,0.0
557.0,0.04193131469631514,0.9580686853036848,0.07429653802321341,0.11034090037747714,0.0,nominal,0.0,0.0
558.0,0.04193131469631514,0.9580686853036848,0.07468516500436084,0.1106998582832547,0.0,nominal,0.0,0.0
559.0,0.04193131469631514,0.9580686853036848,0.07499657852245516,0.11098750592825887,0.0,nominal,0.0,0.0
560.0,0.04193131469631514,0.9580686853036848,0.07525797180085649,0.11122895650196286,0.0,nominal,0.0,0.0
561.0,0.04193131469631514,0.9580686853036848,0.07550562151677019,0.11145771696100297,0.0,nominal,0.0,0.0
562.0,0.04193131469631514,0.9580686853036848,0.07577835966450544,0.11170965776943183,0.0,nominal,0.0,0.0
563.0,0.04193131469631514,0.9580686853036848,0.0761048673121622,0.11201127554818682,0.0,nominal,0.0,0.0
564.0,0.04193131469631514,0.9580686853036848,0.07645275607968512,0.1123326536685434,0.0,nominal,0.0,0.0
565.0,0.04193131469631514,0.9580686853036848,0.07677959123607668,0.1126345911248917,0.0,nominal,0.0,0.0
566.0,0.04193131469631514,0.9580686853036848,0.07710406726259574,0.11293435737858029,0.0,nominal,0.0,0.0
567.0,0.04193131469631514,0.9580686853036848,0.07745741959933379,0.11326081023777504,0.0,nominal,0.0,0.0
568.0,0.04193131469631514,0.9580686853036848,0.077766216003161,0.11354610699828778,0.0,nominal,0.0,0.0
569.0,0.04193131469631514,0.9580686853036848,0.0779055392788445,0.11367483009238945,0.0,nominal,0.0,0.0
570.0,0.04193131469631514,0.9580686853036848,0.07792612469812309,0.11369384943194835,0.0,nominal,0.0,0.0
571.0,0.04193131469631514,0.9580686853036848,0.07803336127426096,0.11379292828939362,0.0,nominal,0.0,0.0
572.0,0.04193131469631514,0.9580686853036848,0.07829675403250114,0.114036287984276,0.0,nominal,0.0,0.0
573.0,0.04193131469631514,0.9580686853036848,0.0786063185778544,0.11432231463784609,0.0,nominal,0.0,0.0
574.0,0.04193131469631514,0.9580686853036848,0.07886722381450745,0.11456338760267087,0.0,nominal,0.0,0.0
575.0,0.04193131469631514,0.9580686853036848,0.07903513766647485,0.11471854056521015,0.0,nominal,0.0,0.0
576.0,0.04193131469631514,0.9580686853036848,0.07911517786256156,0.11479249874641248,0.0,nominal,0.0,0.0
577.0,0.04193131469631514,0.9580686853036848,0.07921752296485365,0.11488706767640719,0.0,nominal,0.0,0.0
578.0,0.04193131469631514,0.9580686853036848,0.07941701195066911,0.11507140184654796,0.0,nominal,0.0,0.0
579.0,0.04193131469631514,0.9580686853036848,0.07960785326867063,0.1152477481923722,0.0,nominal,0.0,0.0
580.0,0.04193131469631514,0.9580686853036848,0.07967760606310353,0.11531220375890526,0.0,nominal,0.0,0.0
581.0,0.04193131469631514,0.9580686853036848,0.07970097688079614,0.11533379981407112,0.0,nominal,0.0,0.0
582.0,0.04193131469631514,0.9580686853036848,0.07980016378421478,0.11542545501035384,0.0,nominal,0.0,0.0
583.0,0.04193131469631514,0.9580686853036848,0.07996711018692869,0.1155797261501002,0.0,nominal,0.0,0.0
584.0,0.04193131469631514,0.9580686853036848,0.08013056164086621,0.11573076979165615,0.0,nominal,0.0,0.0
585.0,0.04193131469631514,0.9580686853036848,0.08024066347194907,0.11583251482057905,0.0,nominal,0.0,0.0
586.0,0.04193131469631514,0.9580686853036848,0.08027543912200688,0.11586465117156673,0.0,nominal,0.0,0.0
587.0,0.04193131469631514,0.9580686853036848,0.08024904329248997,0.11584025864577285,0.0,nominal,0.0,0.0
588.0,0.04193131469631514,0.9580686853036848,0.08018696064067815,0.11578288795213851,0.0,nominal,0.0,0.0
589.0,0.04193131469631514,0.9580686853036848,0.0801155658982453,0.11571691230880221,0.0,nominal,0.0,0.0
590.0,0.04193131469631514,0.9580686853036848,0.0800862580770305,0.11568982916372432,0.0,nominal,0.0,0.0
591.0,0.04193131469631514,0.9580686853036848,0.08012453163093305,0.11572519749071113,0.0,nominal,0.0,0.0
592.0,0.04193131469631514,0.9580686853036848,0.08019193559640243,0.11578748530690039,0.0,nominal,0.0,0.0
593.0,0.04193131469631514,0.9580686853036848,0.0802380093301305,0.11583006211880091,0.0,nominal,0.0,0.0
594.0,0.04193131469631514,0.9580686853036848,0.08021653283591752,0.11581021563520406,0.0,nominal,0.0,0.0
595.0,0.04193131469631514,0.9580686853036848,0.08010003226789451,0.11570255778530844,0.0,nominal,0.0,0.0
596.0,0.04193131469631514,0.9580686853036848,0.07991509489453148,0.11553165984191086,0.0,nominal,0.0,0.0
597.0,0.04193131469631514,0.9580686853036848,0.07971806186972114,0.11534958740850573,0.0,nominal,0.0,0.0
598.0,0.04193131469631514,0.9580686853036848,0.07959010409376094,0.11523134700125141,0.0,nominal,0.0,0.0
599.0,0.04193131469631514,0.9580686853036848,0.07955767007199892,0.11520137628603078,0.0,nominal,0.0,0.0
600.0,0.04193131469631514,0.9580686853036848,0.07946524603508157,0.115115972139745,0.0,nominal,0.0,0.0
601.0,0.04193131469631514,0.9580686853036848,0.07917448701917693,0.11484730149905319,0.0,nominal,0.0,0.0
602.0,0.04193131469631514,0.9580686853036848,0.07883240290977281,0.11453121324429964,0.0,nominal,0.0,0.0
