Wavelength_nm,R_glass_1mm_pvk_700nm,T_glass_1mm_pvk_700nm,A_glass_1mm_pvk_700nm,R_pvk_700nm_glass_1mm,T_pvk_700nm_glass_1mm,A_pvk_700nm_glass_1mm
506.0,0.14856429488987108,9.016839919475533e-08,0.8514356149417297,0.2495773426693293,9.016839919475526e-08,0.7504225671622715
507.0,0.1487911861402543,9.947685410879122e-08,0.8512087143828916,0.25006617359972216,9.947685410879118e-08,0.7499337269234237
508.0,0.14900265018414227,1.0887698331138926e-07,0.8509972409388744,0.2505120914279307,1.0887698331138924e-07,0.749487799695086
509.0,0.14910292710977624,1.2002402312759773e-07,0.8508969528662006,0.25079411348958247,1.2002402312759778e-07,0.7492057664863944
510.0,0.1489779328983082,1.3649324044179595e-07,0.8510219306084513,0.2507784879552787,1.3649324044179595e-07,0.7492213755514808
511.0,0.14874028088297556,1.587636594771717e-07,0.851259560353365,0.25062574330316745,1.5876365947717166e-07,0.7493740979331731
512.0,0.1486580910040714,1.8209145112409955e-07,0.8513417269044775,0.250687965542335,1.8209145112409957e-07,0.7493118523662138
513.0,0.14872930861158112,2.0456203479294412e-07,0.8512704868263842,0.2509496667808886,2.0456203479294398e-07,0.7490501286570767
514.0,0.14869702931304365,2.3212648444260074e-07,0.8513027385604719,0.25106575817892574,2.321264844426008e-07,0.7489340096945898
515.0,0.14849624039144044,2.688535795741131e-07,0.8515034907549799,0.25095392907547154,2.688535795741131e-07,0.7490458020709488
516.0,0.14832475102780424,3.090863921050078e-07,0.8516749398858036,0.2508729582284961,3.0908639210500774e-07,0.7491267326851118
517.0,0.1482784098580339,3.474938026139041e-07,0.8517212426481635,0.25094620393382894,3.474938026139043e-07,0.7490534485723684
518.0,0.1482194514915521,3.917657929453221e-07,0.851780156742655,0.25100301764979455,3.9176579294532223e-07,0.7489965905844125
519.0,0.1480595371398376,4.5142493598529817e-07,0.8519400114352264,0.25093819744316986,4.5142493598529833e-07,0.7490613511318941
520.0,0.1479307552008883,5.201119811975469e-07,0.8520687246871306,0.2509187009095057,5.201119811975471e-07,0.7490807789785131
521.0,0.14792362761358288,5.858635996811412e-07,0.8520757865228175,0.2510478795075249,5.858635996811411e-07,0.7489515346288755
522.0,0.14784706118411164,6.569873114839718e-07,0.8521522818285769,0.25106332494108513,6.569873114839717e-07,0.7489360180716034
523.0,0.14752135366680044,7.522878497654765e-07,0.8524778940453498,0.2507310499173804,7.52287849765477e-07,0.7492681977947698
524.0,0.14711159190410333,8.683227065775967e-07,0.8528875397731901,0.250282392719793,8.683227065775967e-07,0.7497167389575004
525.0,0.14685979015613157,9.836190989096507e-07,0.8531392262247695,0.250044747148934,9.83619098909651e-07,0.7499542692319671
526.0,0.14678997831192478,1.0994730284951266e-06,0.8532089222150467,0.25006221092666925,1.0994730284951268e-06,0.7499366896003022
527.0,0.14679785831601228,1.2427142148138624e-06,0.8532008989697728,0.2502112490226668,1.2427142148138626e-06,0.7497875082631184
528.0,0.146687219208353,1.4275455618405183e-06,0.8533113532460851,0.25020251269970284,1.4275455618405187e-06,0.7497960597547353
529.0,0.14629719376093075,1.6463333832138977e-06,0.8537011599056861,0.24977800338977693,1.646333383213898e-06,0.7502203502768399
530.0,0.14578383930542246,1.8901691093677868e-06,0.8542142705254682,0.2491614604911991,1.8901691093677864e-06,0.7508366493396915
531.0,0.14544436340211792,2.1558808531100223e-06,0.8545534807170291,0.24879644150527475,2.155880853110022e-06,0.7512014026138721
532.0,0.1452921355142738,2.455793829412811e-06,0.8547054086918968,0.24870968926321596,2.4557938294128123e-06,0.7512878549429547
533.0,0.14510998012588305,2.8386946281347032e-06,0.8548871811794888,0.24859589075724764,2.8386946281347016e-06,0.7514012705481242
534.0,0.1448107559853257,3.3385075446108236e-06,0.8551859055071297,0.24832761384722973,3.3385075446108236e-06,0.7516690476452257
535.0,0.14451693823743245,3.876319111851566e-06,0.8554791854434557,0.2480494294830018,3.876319111851565e-06,0.7519466941978864
536.0,0.14429902865291655,4.350606833906287e-06,0.8556966207402495,0.24784085039749706,4.35060683390629e-06,0.7521547989956691
537.0,0.14402944047503607,4.834545884519949e-06,0.8559657249790794,0.24754245359331317,4.834545884519947e-06,0.7524527118608023
538.0,0.14362153352931328,5.466238974669738e-06,0.856373000231712,0.2470590297339538,5.4662389746697434e-06,0.7529355040270715
539.0,0.14319807827780628,6.2816890761464945e-06,0.8567956400331176,0.2465717118917373,6.281689076146496e-06,0.7534220064191866
540.0,0.14286316015547315,7.257830803250458e-06,0.8571295820137236,0.24622182670536585,7.257830803250458e-06,0.7537709154638309
541.0,0.14258549299612897,8.254699149944754e-06,0.8574062523047211,0.24593728979312054,8.254699149944754e-06,0.7540544555077295
542.0,0.14234551377422747,9.046295201299411e-06,0.8576454399305713,0.245664284046074,9.046295201299414e-06,0.7543266696587247
543.0,0.142095063522668,9.802578341243755e-06,0.8578951338989907,0.2453623180110946,9.802578341243757e-06,0.7546278794105641
544.0,0.14171198688896922,1.1058205362089365e-05,0.8582769549056687,0.24491022281474803,1.105820536208937e-05,0.7550787189798899
545.0,0.14120579971228986,1.2962230868118878e-05,0.858781238056842,0.24431893743470262,1.2962230868118884e-05,0.7556681003344293
546.0,0.14072864092369344,1.5075182612747285e-05,0.8592562838936938,0.24376047046909605,1.5075182612747288e-05,0.7562244543482911
547.0,0.14033602392361622,1.711792341042958e-05,0.8596468581529734,0.24329938181083235,1.7117923410429588e-05,0.7566835002657573
548.0,0.1399586850157289,1.9367554730481642e-05,0.8600219474295406,0.24285624623813282,1.9367554730481656e-05,0.7571243862071366
549.0,0.1395627823492657,2.2046738313541044e-05,0.8604151709124208,0.24239165608736685,2.2046738313541057e-05,0.7575862971743196
550.0,0.13918492700327056,2.4981357388523916e-05,0.860790091639341,0.24194801405574057,2.498135738852393e-05,0.7580270045868709
551.0,0.13885759120693558,2.791559034103942e-05,0.8611144932027234,0.2415634689560401,2.791559034103942e-05,0.7584086154536189
552.0,0.13858855937928963,3.070043785444933e-05,0.8613807401828559,0.2412476485369726,3.070043785444933e-05,0.758721651025173
553.0,0.1383665602560465,3.331657341694675e-05,0.8616001231705366,0.24098695711304402,3.3316573416946735e-05,0.7589797263135389
554.0,0.13813616364752435,3.6202328835199206e-05,0.8618276340236405,0.2407149999242531,3.620232883519921e-05,0.7592487977469118
