Wavelength_nm,zone_label,R_front,T_front,R_stack,R_total
561.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07550562151677019,0.11145771696100297
562.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07577835966450533,0.11170965776943173
563.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07610486731216223,0.11201127554818685
564.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07645275607968517,0.11233265366854346
565.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07677959123607672,0.11263459112489173
566.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07710406726259567,0.11293435737858022
567.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07745741959933382,0.11326081023777507
568.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07776621600316103,0.11354610699828781
569.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07790553927884444,0.11367483009238939
570.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07792612469812318,0.11369384943194845
571.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07803336127426092,0.1137929282893936
572.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07829675403250108,0.11403628798427594
573.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0786063185778544,0.11432231463784609
574.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07886722381450742,0.11456338760267085
575.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07903513766647478,0.11471854056521008
576.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07911517786256159,0.1147924987464125
577.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07921752296485365,0.11488706767640719
578.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07941701195066911,0.11507140184654796
579.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07960785326867063,0.1152477481923722
580.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07967760606310346,0.1153122037589052
581.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07970097688079618,0.11533379981407116
582.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07980016378421471,0.11542545501035377
583.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07996711018692869,0.1155797261501002
584.0,Zone 1,0.04193131469631514,0.9580686853036848,0.08013056164086621,0.11573076979165615
585.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0802406634719491,0.11583251482057907
586.0,Zone 1,0.04193131469631514,0.9580686853036848,0.08027543912200688,0.11586465117156673
