Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,ensemble_id,d_BEMA_front_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
448.0,0.04193131469631514,0.9580686853036848,0.007147156537167064,0.04849362493204491,700.0,nominal,0.0,0.0,0.0
449.0,0.04193131469631514,0.9580686853036848,0.006540504517579116,0.04793646197582203,700.0,nominal,0.0,0.0,0.0
450.0,0.04193131469631514,0.9580686853036848,0.006056557006928682,0.047492013950841294,700.0,nominal,0.0,0.0,0.0
451.0,0.04193131469631514,0.9580686853036848,0.005672763292504599,0.04713955806123745,700.0,nominal,0.0,0.0,0.0
452.0,0.04193131469631514,0.9580686853036848,0.005365204751815534,0.04685712072102585,700.0,nominal,0.0,0.0,0.0
453.0,0.04193131469631514,0.9580686853036848,0.005118537927674124,0.04663060676311488,700.0,nominal,0.0,0.0,0.0
454.0,0.04193131469631514,0.9580686853036848,0.004899258600931875,0.04642924665834197,700.0,nominal,0.0,0.0,0.0
455.0,0.04193131469631514,0.9580686853036848,0.004684133907068822,0.046231705274256615,700.0,nominal,0.0,0.0,0.0
456.0,0.04193131469631514,0.9580686853036848,0.004483590731555032,0.04604755679209516,700.0,nominal,0.0,0.0,0.0
457.0,0.04193131469631514,0.9580686853036848,0.004311790761986859,0.04588980418085682,700.0,nominal,0.0,0.0,0.0
458.0,0.04193131469631514,0.9580686853036848,0.0041658088347475185,0.04575576036607756,700.0,nominal,0.0,0.0,0.0
459.0,0.04193131469631514,0.9580686853036848,0.004044298079191581,0.04564418777075928,700.0,nominal,0.0,0.0,0.0
460.0,0.04193131469631514,0.9580686853036848,0.003950124747394619,0.04555771749947647,700.0,nominal,0.0,0.0,0.0
461.0,0.04193131469631514,0.9580686853036848,0.0038710448972282927,0.04548510664158618,700.0,nominal,0.0,0.0,0.0
462.0,0.04193131469631514,0.9580686853036848,0.0037994587184971926,0.045419376863444307,700.0,nominal,0.0,0.0,0.0
463.0,0.04193131469631514,0.9580686853036848,0.003755634585760289,0.045379138138161655,700.0,nominal,0.0,0.0,0.0
464.0,0.04193131469631514,0.9580686853036848,0.0037558605634065846,0.045379345627397275,700.0,nominal,0.0,0.0,0.0
465.0,0.04193131469631514,0.9580686853036848,0.0037909975135893945,0.04541160788814432,700.0,nominal,0.0,0.0,0.0
466.0,0.04193131469631514,0.9580686853036848,0.0038537346746510067,0.04546921251649601,700.0,nominal,0.0,0.0,0.0
467.0,0.04193131469631514,0.9580686853036848,0.003949074207594427,0.04555675289413641,700.0,nominal,0.0,0.0,0.0
468.0,0.04193131469631514,0.9580686853036848,0.004076146665216895,0.045673431404558276,700.0,nominal,0.0,0.0,0.0
469.0,0.04193131469631514,0.9580686853036848,0.004224521022295292,0.045809670990068344,700.0,nominal,0.0,0.0,0.0
470.0,0.04193131469631514,0.9580686853036848,0.004390466490338522,0.04596204664485087,700.0,nominal,0.0,0.0,0.0
471.0,0.04193131469631514,0.9580686853036848,0.004589435104994185,0.04614474784959812,700.0,nominal,0.0,0.0,0.0
472.0,0.04193131469631514,0.9580686853036848,0.004837303858167233,0.04637235544777678,700.0,nominal,0.0,0.0,0.0
473.0,0.04193131469631514,0.9580686853036848,0.005121731878042,0.0466335397353704,700.0,nominal,0.0,0.0,0.0
474.0,0.04193131469631514,0.9580686853036848,0.005417044969080356,0.046904726149298324,700.0,nominal,0.0,0.0,0.0
475.0,0.04193131469631514,0.9580686853036848,0.00573454345837489,0.04719629293838543,700.0,nominal,0.0,0.0,0.0
476.0,0.04193131469631514,0.9580686853036848,0.006116505525969271,0.04754706853110244,700.0,nominal,0.0,0.0,0.0
477.0,0.04193131469631514,0.9580686853036848,0.006567263820735321,0.047961037728217776,700.0,nominal,0.0,0.0,0.0
478.0,0.04193131469631514,0.9580686853036848,0.0070444567447050365,0.048399301122628975,700.0,nominal,0.0,0.0,0.0
479.0,0.04193131469631514,0.9580686853036848,0.007523723277363718,0.048839486618931116,700.0,nominal,0.0,0.0,0.0
480.0,0.04193131469631514,0.9580686853036848,0.00801558490742909,0.04929125856710883,700.0,nominal,0.0,0.0,0.0
481.0,0.04193131469631514,0.9580686853036848,0.008535553696018968,0.049768867041369645,700.0,nominal,0.0,0.0,0.0
482.0,0.04193131469631514,0.9580686853036848,0.009097905873137878,0.05028542950636734,700.0,nominal,0.0,0.0,0.0
483.0,0.04193131469631514,0.9580686853036848,0.009710690796994551,0.05084834596267397,700.0,nominal,0.0,0.0,0.0
484.0,0.04193131469631514,0.9580686853036848,0.010371610982705805,0.05145551287085831,700.0,nominal,0.0,0.0,0.0
485.0,0.04193131469631514,0.9580686853036848,0.011072264304060164,0.05209921814611624,700.0,nominal,0.0,0.0,0.0
486.0,0.04193131469631514,0.9580686853036848,0.011789543086364231,0.05275823678941211,700.0,nominal,0.0,0.0,0.0
487.0,0.04193131469631514,0.9580686853036848,0.012507748162673337,0.053418146229092286,700.0,nominal,0.0,0.0,0.0
488.0,0.04193131469631514,0.9580686853036848,0.013262453694252207,0.05411163628831521,700.0,nominal,0.0,0.0,0.0
489.0,0.04193131469631514,0.9580686853036848,0.014092030998517288,0.05487397581070823,700.0,nominal,0.0,0.0,0.0
490.0,0.04193131469631514,0.9580686853036848,0.014960066666888516,0.05567171343876856,700.0,nominal,0.0,0.0,0.0
491.0,0.04193131469631514,0.9580686853036848,0.015809335568070963,0.056452260369502724,700.0,nominal,0.0,0.0,0.0
492.0,0.04193131469631514,0.9580686853036848,0.01665723639498204,0.05723160542569479,700.0,nominal,0.0,0.0,0.0
493.0,0.04193131469631514,0.9580686853036848,0.017556758182362905,0.05805845833086756,700.0,nominal,0.0,0.0,0.0
494.0,0.04193131469631514,0.9580686853036848,0.01851191555001822,0.05893652056707754,700.0,nominal,0.0,0.0,0.0
495.0,0.04193131469631514,0.9580686853036848,0.019493024111577405,0.05983851264416826,700.0,nominal,0.0,0.0,0.0
496.0,0.04193131469631514,0.9580686853036848,0.02048157287142159,0.06074742006805825,700.0,nominal,0.0,0.0,0.0
497.0,0.04193131469631514,0.9580686853036848,0.021470484209586235,0.06165673631945822,700.0,nominal,0.0,0.0,0.0
498.0,0.04193131469631514,0.9580686853036848,0.0224804611114172,0.06258550053037362,700.0,nominal,0.0,0.0,0.0
499.0,0.04193131469631514,0.9580686853036848,0.02356707467422663,0.06358482694708856,700.0,nominal,0.0,0.0,0.0
500.0,0.04193131469631514,0.9580686853036848,0.0247274626004268,0.06465210212123769,700.0,nominal,0.0,0.0,0.0
501.0,0.04193131469631514,0.9580686853036848,0.025853368472833992,0.0656877615615102,700.0,nominal,0.0,0.0,0.0
502.0,0.04193131469631514,0.9580686853036848,0.026886000318124898,0.06663770937781816,700.0,nominal,0.0,0.0,0.0
503.0,0.04193131469631514,0.9580686853036848,0.02791084235793996,0.06758057255892648,700.0,nominal,0.0,0.0,0.0
504.0,0.04193131469631514,0.9580686853036848,0.0290100562865044,0.06859194867417862,700.0,nominal,0.0,0.0,0.0
505.0,0.04193131469631514,0.9580686853036848,0.030181575643867673,0.06966995507833121,700.0,nominal,0.0,0.0,0.0
506.0,0.04193131469631514,0.9580686853036848,0.03140185782798802,0.07079294472894018,700.0,nominal,0.0,0.0,0.0
507.0,0.04193131469631514,0.9580686853036848,0.032631032923223384,0.07192423460382527,700.0,nominal,0.0,0.0,0.0
508.0,0.04193131469631514,0.9580686853036848,0.033828317087737966,0.07302628545425595,700.0,nominal,0.0,0.0,0.0
509.0,0.04193131469631514,0.9580686853036848,0.034981287482412624,0.07408765204159384,700.0,nominal,0.0,0.0,0.0
510.0,0.04193131469631514,0.9580686853036848,0.03609394169772569,0.07511200303305243,700.0,nominal,0.0,0.0,0.0
511.0,0.04193131469631514,0.9580686853036848,0.037208822125607305,0.07613849957804408,700.0,nominal,0.0,0.0,0.0
512.0,0.04193131469631514,0.9580686853036848,0.03837981862617433,0.07721676701503233,700.0,nominal,0.0,0.0,0.0
513.0,0.04193131469631514,0.9580686853036848,0.039583744686930336,0.07832546696166862,700.0,nominal,0.0,0.0,0.0
514.0,0.04193131469631514,0.9580686853036848,0.040749737852046226,0.07939934125191637,700.0,nominal,0.0,0.0,0.0
515.0,0.04193131469631514,0.9580686853036848,0.04186566724387335,0.08042720555315315,700.0,nominal,0.0,0.0,0.0
516.0,0.04193131469631514,0.9580686853036848,0.04297164510830633,0.08144599874622929,700.0,nominal,0.0,0.0,0.0
517.0,0.04193131469631514,0.9580686853036848,0.04408465343458487,0.0824713637599429,700.0,nominal,0.0,0.0,0.0
518.0,0.04193131469631514,0.9580686853036848,0.04519423256556855,0.08349366505510483,700.0,nominal,0.0,0.0,0.0
519.0,0.04193131469631514,0.9580686853036848,0.04630119067730887,0.08451364647148288,700.0,nominal,0.0,0.0,0.0
520.0,0.04193131469631514,0.9580686853036848,0.047423767891990626,0.08554811664909479,700.0,nominal,0.0,0.0,0.0
521.0,0.04193131469631514,0.9580686853036848,0.04855113843605417,0.08658710215691542,700.0,nominal,0.0,0.0,0.0
522.0,0.04193131469631514,0.9580686853036848,0.04960579395568428,0.08755916256178202,700.0,nominal,0.0,0.0,0.0
523.0,0.04193131469631514,0.9580686853036848,0.05053928278336019,0.0884196172960674,700.0,nominal,0.0,0.0,0.0
524.0,0.04193131469631514,0.9580686853036848,0.051427314858729894,0.08923823436871339,700.0,nominal,0.0,0.0,0.0
525.0,0.04193131469631514,0.9580686853036848,0.05235960481942965,0.09009771555285047,700.0,nominal,0.0,0.0,0.0
