ag_boundary_mode,Wavelength_nm,R_stack,R_total,R_stack_step_749_750,R_total_step_749_750
finite_100nm_air_exit,767.0,0.6580562530823485,0.6630982178719321,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,768.0,0.6625056645311135,0.6674182122877744,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,769.0,0.6669030375348755,0.6716893112201846,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,770.0,0.6712426577608862,0.6759059046954671,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,771.0,0.6755178445810013,0.6800614357177914,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,772.0,0.6797208929280923,0.6841483422980563,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,773.0,0.6838429842818547,0.6881579694485662,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,774.0,0.6878741106847035,0.6920804938269733,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,775.0,0.6918030086341593,0.6959048580318989,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,776.0,0.6956170995989475,0.6996187114528782,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,777.0,0.6993024431129706,0.703208363544239,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,778.0,0.7028437023540333,0.7066587495205194,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,779.0,0.7062241301578857,0.7099534163163045,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,780.0,0.7094255777916466,0.7130745311884237,0.11304154487543383,0.10701144532929407
semi_infinite_ag,720.0,0.055571468347012355,0.09305925885225791,0.11306205832009575,0.10703142680281447
semi_infinite_ag,721.0,0.05629755395346153,0.09372886696440247,0.11306205832009575,0.10703142680281447
semi_infinite_ag,722.0,0.056733058415707305,0.0941305159654004,0.11306205832009575,0.10703142680281447
semi_infinite_ag,723.0,0.05729646887655995,0.09465014956201312,0.11306205832009575,0.10703142680281447
semi_infinite_ag,724.0,0.058309468466814694,0.09558450122407114,0.11306205832009575,0.10703142680281447
semi_infinite_ag,725.0,0.05945963353389266,0.09664546548530334,0.11306205832009575,0.10703142680281447
semi_infinite_ag,726.0,0.060137351266354895,0.09727067100059263,0.11306205832009575,0.10703142680281447
semi_infinite_ag,727.0,0.060161169279867144,0.09729264414936606,0.11306205832009575,0.10703142680281447
semi_infinite_ag,728.0,0.06004790993584058,0.09718815789328224,0.11306205832009575,0.10703142680281447
semi_infinite_ag,729.0,0.0601890237259942,0.09731834113782048,0.11306205832009575,0.10703142680281447
