interface_type,d_air_nm,wavelength_nm,reflectance,delta_r
front,0.0,963,0.8950454028398236,0.0
front,0.0,964,0.892009690798864,0.0
front,0.0,965,0.8889372694286447,0.0
front,0.0,966,0.8858289148008679,0.0
front,0.0,967,0.882685425715176,0.0
front,0.0,968,0.8795076248147343,0.0
front,0.0,969,0.876296359694717,0.0
front,0.0,970,0.873052504001763,0.0
front,0.0,971,0.8697769588892618,0.0
front,0.0,972,0.8664706552235898,0.0
front,0.0,973,0.8631345535923188,0.0
front,0.0,974,0.8597696449792668,0.0
front,0.0,975,0.8563769517769294,0.0
front,0.0,976,0.852957528774229,0.0
front,0.0,977,0.8495124641164176,0.0
front,0.0,978,0.8460428802338321,0.0
front,0.0,979,0.8425499347360119,0.0
front,0.0,980,0.8390348212675496,0.0
front,0.0,981,0.8354987703082409,0.0
front,0.0,982,0.8319430498962911,0.0
front,0.0,983,0.8283689663812798,0.0
front,0.0,984,0.8247778651020047,0.0
front,0.0,985,0.8211711309930045,0.0
front,0.0,986,0.8175501891278342,0.0
front,0.0,987,0.8139165051944234,0.0
front,0.0,988,0.8102715858977928,0.0
front,0.0,989,0.8066169792852682,0.0
front,0.0,990,0.8029542749892884,0.0
front,0.0,991,0.7992851044024571,0.0
front,0.0,992,0.7956111407996626,0.0
front,0.0,993,0.7919340992456697,0.0
front,0.0,994,0.7882557364395768,0.0
front,0.0,995,0.7845778504715691,0.0
front,0.0,996,0.7809022804674516,0.0
front,0.0,997,0.7772309061161928,0.0
front,0.0,998,0.773565647075757,0.0
front,0.0,999,0.7699084622527997,0.0
front,0.0,1000,0.7662613489518476,0.0
front,0.0,1001,0.7626263414432248,0.0
front,0.0,1002,0.7590055084847479,0.0
front,0.0,1003,0.755400953368048,0.0
front,0.0,1004,0.7518148129447587,0.0
front,0.0,1005,0.7482492560614185,0.0
front,0.0,1006,0.7447064818442449,0.0
front,0.0,1007,0.7411887178319522,0.0
front,0.0,1008,0.7376982179553591,0.0
front,0.0,1009,0.7342372603630444,0.0
front,0.0,1010,0.7308081450929135,0.0
front,0.0,1011,0.7274131935755535,0.0
front,0.0,1012,0.7240547520494879,0.0
front,0.0,1013,0.7207351829965666,0.0
front,0.0,1014,0.7174568602734165,0.0
front,0.0,1015,0.7142221660617408,0.0
front,0.0,1016,0.7110334876783102,0.0
front,0.0,1017,0.7078932142495042,0.0
front,0.0,1018,0.7048037332561623,0.0
front,0.0,1019,0.701767426955291,0.0
front,0.0,1020,0.6987866686860252,0.0
front,0.0,1021,0.6958638109516241,0.0
front,0.0,1022,0.6930011566842893,0.0
front,0.0,1023,0.6902009787130572,0.0
front,0.0,1024,0.6874655236036873,0.0
front,0.0,1025,0.6847970074357798,0.0
front,0.0,1026,0.6821976115298951,0.0
front,0.0,1027,0.6796694781383918,0.0
front,0.0,1028,0.6772147061142705,0.0
front,0.0,1029,0.674835346573016,0.0
front,0.0,1030,0.6725333985629203,0.0
front,0.0,1031,0.6703108161986282,0.0
front,0.0,1032,0.6681695394941708,0.0
front,0.0,1033,0.6661114572494361,0.0
front,0.0,1034,0.6641383917590915,0.0
front,0.0,1035,0.6622520948517551,0.0
front,0.0,1036,0.6604542440271085,0.0
front,0.0,1037,0.6587464387070052,0.0
front,0.0,1038,0.6571301966165163,0.0
front,0.0,1039,0.6556069503105406,0.0
front,0.0,1040,0.6541780438612729,0.0
front,0.0,1041,0.6528447263289151,0.0
front,0.0,1042,0.6516081383932388,0.0
front,0.0,1043,0.6504693193553515,0.0
front,0.0,1044,0.6494292079342325,0.0
front,0.0,1045,0.648488639963435,0.0
front,0.0,1046,0.6476483463311136,0.0
front,0.0,1047,0.6469089511734752,0.0
front,0.0,1048,0.6462709703305678,0.0
front,0.0,1049,0.6457348100722058,0.0
front,0.0,1050,0.6453007661004823,0.0
front,0.0,1051,0.6449690207096762,0.0
front,0.0,1052,0.6447396358563441,0.0
front,0.0,1053,0.6446125591717853,0.0
front,0.0,1054,0.6445876262088535,0.0
