Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
3.334762,371.7932446153578,2.028884,5.471612,1.9829955032312732,1.37963298229473
3.320507,373.3893601188011,2.109674,5.545147,2.0053154999201004,1.3826121127126731
3.306374,374.9854021353906,2.187118,5.59648,2.024325138857848,1.382307587988956
3.29236,376.58153543354916,2.29747,5.629543,2.0466773246857044,1.3752883593569138
3.278465,378.1775873770194,2.396043,5.694045,2.0704682686157656,1.3750621263582117
3.264686,379.77373137876043,2.500368,5.751845,2.0942987895825573,1.373214994109431
3.251023,381.3697977528919,2.594356,5.785832,2.1136719615436546,1.3686683897189271
3.237473,382.965968828157,2.711018,5.790595,2.1336368685503238,1.3569776294534965
3.224037,384.5619588112667,2.818972,5.820611,2.1547950375446,1.3506182487390115
3.210711,386.1580765132707,2.946085,5.829755,2.176920450421486,1.3389912798309345
3.197495,387.75415880243753,3.050563,5.847453,2.196123057604764,1.3313126920987788
3.184388,389.3501621033617,3.15007,5.8481,2.2127585429418763,1.3214501009732662
3.171387,390.94629069236896,3.278388,5.844311,2.233765620287974,1.308174623810031
3.158493,392.54226113529455,3.375814,5.842408,2.249821676474512,1.2984157947031383
3.145703,394.1382845106483,3.472356,5.836879,2.2653916718349567,1.2882714880098758
3.133016,395.73432883840997,3.57408,5.81396,2.2802142726083967,1.2748714166562205
3.120431,397.3303636580972,3.673379,5.791925,2.294772122497028,1.2619826045510756
3.107947,398.92636006984674,3.757433,5.763816,2.3062774195830427,1.2495929481549652
3.095562,400.5224201615086,3.850396,5.713788,2.317375206966272,1.2328146048218167
3.083276,402.11839095818857,3.930862,5.707384,2.3303363212578305,1.2245837538418836
3.071087,403.7143799573245,4.017609,5.664702,2.341195574204437,1.209788294154991
3.058994,405.31036804910366,4.094789,5.624204,2.350715386067511,1.1962749793816334
3.046996,406.90633791445737,4.174985,5.575428,2.3601186826877765,1.1811753453115608
3.035092,408.50227406615676,4.265105,5.525504,2.3712066743056246,1.165124925607353
3.023281,410.09816288991993,4.317261,5.4578,2.3744645138726925,1.149269649664813
3.011561,411.6941293900406,4.394712,5.40452,2.3833284660524257,1.133817700115767
2.999932,413.29002924066276,4.447251,5.342205,2.3872901128235635,1.1188847495542793
2.988392,414.88599353766165,4.495024,5.286135,2.3910179238466247,1.105415176373033
2.976941,416.48187988945693,4.544241,5.2391,2.3957811292305435,1.0934012160123008
2.965577,418.07782566428045,4.586879,5.146811,2.395935706093329,1.0740711837364127
2.9543,419.6736905527536,4.613042,5.103346,2.397113652200656,1.064477271512534
2.943108,421.2696183762199,4.642374,5.031934,2.3967359673217326,1.0497472538919268
2.932001,422.86547105543275,4.66464,4.968623,2.3958063525183046,1.0369416949699064
2.920978,424.461253730771,4.68116,4.927624,2.3956033728862467,1.0284724207211207
2.910037,426.05712023592827,4.692584,4.870802,2.393333783826419,1.017576827961842
2.899178,427.6529361080968,4.710361,4.823071,2.392904774299845,1.0077858199374465
2.8884,429.248713474588,4.709739,4.776243,2.389299692224538,0.9995068880524397
2.877702,430.8444668697453,4.718477,4.716022,2.386385912405788,0.9881096715085859
2.867082,432.44036410538655,4.724135,4.705043,2.386585884914033,0.9857267299160029
2.856541,434.03612410954366,4.722542,4.662417,2.383154037695364,0.978203029735502
2.846077,435.63191860234275,4.715047,4.626127,2.3791336380571275,0.972229328777394
2.83569,437.22761796952415,4.719347,4.615804,2.3791491765890553,0.9700535059801499
2.825378,438.82340132895484,4.720877,4.575922,2.3765001202867024,0.9627439024593776
2.815142,440.41898561422477,4.713416,4.553245,2.373490422506072,0.9591875654573773
2.804979,442.0147116965938,4.701817,4.5413,2.3705139933800017,0.9578724303425812
2.794889,443.6104560860914,4.694933,4.519864,2.367694478477872,0.9544863243727504
2.784872,445.20609349370454,4.691698,4.507054,2.3661686503072796,0.9523949189789782
2.774927,446.80165784541356,4.686372,4.489678,2.3639278413410127,0.9496224718629923
2.765052,448.3973480426408,4.672453,4.48459,2.361019133880397,0.9497148785553167
2.755248,449.992880495694,4.679456,4.493992,2.3629842192877684,0.950914518031471
2.745512,451.5886231784818,4.666298,4.483655,2.359828452841511,0.9499959614863427
2.735846,453.1841280539913,4.67259,4.483906,2.3609939569329286,0.9495801517901515
2.726248,454.77960332295515,4.659256,4.489228,2.3589540286175095,0.9515293527426136
2.716716,456.3752648418164,4.671236,4.496298,2.3616563670431856,0.9519373907960633
