Photon_Energy_eV,Epsilon1,Epsilon2
1.126553,5.855403,-0.000842
1.12309,5.864254,-0.004319
1.119648,5.864478,-0.00371
1.116226,5.860235,-0.00189
1.112824,5.849327,-0.000844
1.109442,5.859982,-0.00476
1.10608,5.849097,-0.00252
1.102737,5.833059,-0.002414
1.099414,5.836498,0.006756
1.09611,5.841326,0.006767
1.092825,5.829809,-0.004108
1.089559,5.827322,0.001194
1.086312,5.825387,0.001055
1.083084,5.824646,0.003437
1.079874,5.820119,0.000384
1.076682,5.813706,0.00035
1.073509,5.812557,0.004335
1.070353,5.802395,0.006864
1.067216,5.801149,0.004623
1.064096,5.790195,0.004665
1.060994,5.795409,0.003584
1.057909,5.796796,0.001077
1.054841,5.794337,0.002774
1.051791,5.794943,0.00276
1.048758,5.780754,0.002586
1.045741,5.779815,0.001634
1.042742,5.789203,0.010586
1.039759,5.772669,0.002696
1.036792,5.763944,8e-06
1.033842,5.776329,0.002109
1.030908,5.766442,0.007208
1.02799,5.765135,0.009174
1.025088,5.753613,0.000655
1.022202,5.761027,0.001015
1.019331,5.759674,0.010327
1.016477,5.760329,0.006349
1.013637,5.751645,0.003537
1.010813,5.753087,0.008606
1.008005,5.750217,0.012054
1.005211,5.736544,-0.005759
1.002432,5.752508,0.018067
0.999669,5.740512,0.010103
0.99692,5.744132,0.019803
0.994185,5.7296,-0.007099
0.991465,5.724788,0.001275
0.98876,5.719687,0.012512
0.986069,5.719091,0.000966
0.983392,5.724684,0.000642
0.980729,5.721117,-0.001981
0.978081,5.717862,-0.00944
0.975446,5.705539,0.002422
0.972825,5.713273,0.003575
0.970217,5.707818,0.001044
0.967623,5.709444,0.002402
0.965043,5.705596,-0.001871
0.962476,5.697715,0.011619
0.959922,5.693219,0.002359
0.957382,5.698532,-0.01205
0.954855,5.687427,0.010732
0.95234,5.681485,-0.000306
0.949839,5.688536,0.003463
0.94735,5.700367,0.044368
0.944874,5.695356,-0.028772
0.94241,5.685585,-0.018026
0.939959,5.686631,-0.007439
0.937521,5.670631,0.015645
0.935095,5.662748,0.012053
0.932681,5.671116,0.022692
0.930279,5.664007,0.006943
0.927889,5.661904,-0.001919
0.925512,5.637603,0.006167
0.923146,5.657563,-0.005137
0.920792,5.652642,0.01492
0.918449,5.650094,-0.010758
0.916119,5.660509,-0.021653
0.9138,5.633854,-0.003297
0.911492,5.656672,-0.018537
0.909196,5.64599,0.011544
0.906911,5.651987,-0.012967
0.904637,5.64203,0.0151
0.902375,5.652443,0.006211
0.900123,5.652515,0.005395
0.897883,5.658547,-0.03019
0.895653,5.640375,-0.010265
0.893435,5.650496,-0.009385
0.891227,5.650045,-0.008555
0.88903,5.615734,0.01882
0.886843,5.56772,-0.001323
0.884667,5.630657,0.005164
0.882502,5.647098,0.001816
0.880347,5.616141,0.015128
0.878202,5.605932,0.006475
0.876067,5.622863,0.016122
0.873943,5.608777,0.025405
0.871829,5.611328,-0.006654
0.869725,5.625059,0.00281
0.86763,5.634499,0.002131
0.865546,5.587843,-0.001612
0.863472,5.577419,0.002396
0.861407,5.611365,0.033762
0.859352,5.61329,-0.01245
0.857307,5.605087,-0.01134
0.855272,5.634795,-0.002341
0.853245,5.574258,0.005361
0.851229,5.567387,0.031907
0.849222,5.602667,-0.004541
0.847224,5.57658,0.0144
0.845235,5.570664,-0.014208
0.843256,5.593117,-0.000227
0.841285,5.60617,0.015386
0.839324,5.581075,0.027946
0.837372,5.578513,-0.013915
0.835429,5.641677,0.010282
0.833495,5.565129,0.01883
0.83157,5.553902,0.012278
0.829653,5.531057,-0.03299
0.827745,5.579798,0.043512
0.825846,5.589197,0.038284
0.823956,5.629754,0.032871
0.822074,5.544829,-0.017198
0.8202,5.530285,-0.011463
0.818335,5.525349,0.038497
0.816479,5.559286,-0.033504
0.814631,5.519784,0.022632
0.812791,5.54518,0.020427
0.810959,5.519048,-0.04427
0.809136,5.583788,0.00948
0.807321,5.574306,0.022158
0.805514,5.592592,0.054186
0.803715,5.541156,-0.024464
0.801923,5.484615,0.02932
0.80014,5.580802,0.027023
0.798365,5.532775,-0.017674
0.796598,5.621838,0.112094
0.794838,5.507706,0.033453
0.793086,5.470077,0.019709
0.791342,5.526596,0.036452
0.789605,5.531722,-0.007186
0.787876,5.569367,0.059493
0.786155,5.622277,0.070333
0.784441,5.556141,0.075072
0.782735,5.46882,-0.037831
0.781036,5.605829,0.105003
0.779344,5.445169,-0.039632
0.77766,5.496479,0.043634
0.775983,5.526795,0.019596
0.774313,5.496922,-0.016808
0.772651,5.533419,0.062146
0.770995,5.531681,0.018008
0.769347,5.499699,0.041055
0.767706,5.511269,0.05367
0.766072,5.501835,0.032794
0.764444,5.434006,-0.092019
0.762824,5.459411,-0.001317
0.761211,5.469284,0.010638
0.759604,5.55644,0.102863
0.758004,5.480069,-0.042443
0.756411,5.423576,-0.080697
0.754825,5.589554,0.164479
0.753246,5.476253,0.053751
0.751673,5.590577,0.150456
0.750107,5.427486,-0.101628
0.748547,5.53836,0.148318
0.746994,5.657848,0.198665
0.745447,5.468188,-0.019864
0.743907,5.503419,0.10274
0.742373,5.533844,0.073477
0.740846,5.447865,-0.01972
0.739325,5.484977,0.069919
0.73781,5.459083,0.211768
0.736301,5.517398,0.108693
0.734799,5.41726,0.098431
