case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_mean_deltaR_500_650,front_rms_deltaR_500_650,transition_mean_deltaR_650_810,transition_rms_deltaR_650_810,rear_mean_deltaR_810_1055,rear_rms_deltaR_810_1055,front_to_rear_rms_ratio,transition_to_rear_rms_ratio,front_plus_transition_to_rear_ratio,rear_best_shift_nm,rear_shift_aligned_rms_residual,rear_unaligned_rms_residual,rear_shift_explained_fraction,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
D1_0102,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,5.0,0.0,-0.006313177549142244,0.007760711248629577,0.0027829229091331105,0.0058897646454810024,-0.0022086379764748696,0.008145119305069587,0.9528051042541819,0.7231035451887323,1.6759086494429143,-2.0,0.004752194423403555,0.008145119305069587,0.4165592613915733,947.0,840.0,107.0,26.349588010306125
D1_0103,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,10.0,0.0,-0.011261106641791068,0.013918537010700288,0.005557601654473761,0.012414459090129082,-0.004496416824598963,0.01626172004427565,0.855908044954925,0.7634161119689884,1.6193241569239134,-5.0,0.009258272590972817,0.01626172004427565,0.43067076755931133,950.0,841.0,109.0,26.009777309025463
D1_0104,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,15.0,0.0,-0.014802592485584038,0.018462817208973498,0.008273072996778019,0.019445830293714002,-0.006827029479769651,0.024275591769193434,0.7605506545221876,0.8010445421310567,1.5615951966532444,-8.0,0.013860590688323403,0.024275591769193434,0.4290318102188153,953.0,841.0,112.0,25.641476117201456
D1_0005,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,939.0,832.0,107.0,26.918211741961105
D1_0112,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,0.5,0.0,-0.0005886618065140157,0.000724881839160026,0.000261828988123542,0.000525202588898028,-0.00026229517612234935,0.0007913758824046105,0.9159766620097884,0.663657562196854,1.5796342242066426,0.0,0.0007913758824046105,0.0007913758824046105,0.0,939.0,832.0,107.0,26.8379101981706
D1_0113,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,1.0,0.0,-0.0011647930897026447,0.0014351580507548658,0.0005243420592229494,0.0010580025424455585,-0.000526176605557579,0.0015831303325476254,0.9065318383770478,0.6682978152171376,1.5748296535941853,0.0,0.0015831303325476254,0.0015831303325476254,0.0,940.0,831.0,109.0,26.758556314499383
D1_0114,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,2.0,0.0,-0.0022790973044820766,0.002811542703681374,0.0010511633197509503,0.0021460290822130014,-0.001058526833196487,0.0031674440197313066,0.8876376934105614,0.6775270750941476,1.5651647685047088,-1.0,0.0022757074767864828,0.0031674440197313066,0.28153190313383014,940.0,831.0,109.0,26.599917734800705
D1_0115,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,3.0,0.0,-0.0033422405893188613,0.004128541352613851,0.0015799653339905557,0.003263300644269386,-0.0015967080152786894,0.004752283046723389,0.8687490437802107,0.6866806148087856,1.5554296585889964,-1.0,0.003465003785490858,0.004752283046723389,0.2708759660517457,941.0,831.0,110.0,26.43958795079262
D1_0116,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,5.0,0.0,-0.00531284485567853,0.0065826422061160145,0.002641645039968514,0.005582107863188122,-0.002689195763863973,0.007920939527581248,0.8310431083578922,0.7047279989641184,1.5357711073220106,-2.0,0.005667955678303886,0.007920939527581248,0.2844339161323376,942.0,831.0,111.0,26.110836679323533
D1_0117,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,10.0,0.0,-0.009315531135885692,0.011662979574314385,0.00530049872659117,0.011824093803071027,-0.005498694225667537,0.015807212216375262,0.7378264689982641,0.7480189195424365,1.4858453885407006,-5.0,0.011373638565130541,0.015807212216375262,0.280477897718854,945.0,830.0,115.0,25.25826266213266
