Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
606.0,0.04193131469631514,0.9580686853036848,0.07835598033482877,0.11409101040938464,0.0,0.0,0.0
607.0,0.04193131469631514,0.9580686853036848,0.07807803028981374,0.11383419949989343,0.0,0.0,0.0
608.0,0.04193131469631514,0.9580686853036848,0.07766663403589237,0.11345410248539951,0.0,0.0,0.0
609.0,0.04193131469631514,0.9580686853036848,0.07734179964202571,0.11315399095516065,0.0,0.0,0.0
610.0,0.04193131469631514,0.9580686853036848,0.07721317266109487,0.11303515592898687,0.0,0.0,0.0
611.0,0.04193131469631514,0.9580686853036848,0.07717996228217067,0.11300447395735351,0.0,0.0,0.0
612.0,0.04193131469631514,0.9580686853036848,0.07711243844291542,0.1129420911779826,0.0,0.0,0.0
613.0,0.04193131469631514,0.9580686853036848,0.07688151421084996,0.11272875149352898,0.0,0.0,0.0
614.0,0.04193131469631514,0.9580686853036848,0.07643312343962981,0.11231451687117547,0.0,0.0,0.0
615.0,0.04193131469631514,0.9580686853036848,0.07596645605494716,0.11188341445037184,0.0,0.0,0.0
616.0,0.04193131469631514,0.9580686853036848,0.07571923999766092,0.11165504571525661,0.0,0.0,0.0
617.0,0.04193131469631514,0.9580686853036848,0.07566589876720688,0.11160577175039689,0.0,0.0,0.0
618.0,0.04193131469631514,0.9580686853036848,0.07562588515092596,0.11156880931508606,0.0,0.0,0.0
619.0,0.04193131469631514,0.9580686853036848,0.07546550146753725,0.11142065670852197,0.0,0.0,0.0
620.0,0.04193131469631514,0.9580686853036848,0.07516476484325138,0.11114286005473623,0.0,0.0,0.0
621.0,0.04193131469631514,0.9580686853036848,0.07483688942745853,0.11084000274489297,0.0,0.0,0.0
622.0,0.04193131469631514,0.9580686853036848,0.07461080280302625,0.11063117223157655,0.0,0.0,0.0
623.0,0.04193131469631514,0.9580686853036848,0.07448485167983522,0.1105148360781335,0.0,0.0,0.0
624.0,0.04193131469631514,0.9580686853036848,0.07436229106155619,0.11040163278552752,0.0,0.0,0.0
625.0,0.04193131469631514,0.9580686853036848,0.0742082033428947,0.110259311097122,0.0,0.0,0.0
626.0,0.04193131469631514,0.9580686853036848,0.074080240564727,0.11014112086923333,0.0,0.0,0.0
627.0,0.04193131469631514,0.9580686853036848,0.07401631437867355,0.11008207721900709,0.0,0.0,0.0
628.0,0.04193131469631514,0.9580686853036848,0.0739816628812169,0.11005007245634697,0.0,0.0,0.0
629.0,0.04193131469631514,0.9580686853036848,0.07391379600895867,0.1099873896307148,0.0,0.0,0.0
630.0,0.04193131469631514,0.9580686853036848,0.0737992426584625,0.10988158730977975,0.0,0.0,0.0
631.0,0.04193131469631514,0.9580686853036848,0.07369553175809988,0.10978580003528207,0.0,0.0,0.0
632.0,0.04193131469631514,0.9580686853036848,0.07364556479803702,0.10973965090375176,0.0,0.0,0.0
633.0,0.04193131469631514,0.9580686853036848,0.0736445506746767,0.1097387142685847,0.0,0.0,0.0
634.0,0.04193131469631514,0.9580686853036848,0.07364626706395812,0.10974029951025427,0.0,0.0,0.0
635.0,0.04193131469631514,0.9580686853036848,0.07363265677645293,0.10972772917767996,0.0,0.0,0.0
636.0,0.04193131469631514,0.9580686853036848,0.07360500135451327,0.10970218693636119,0.0,0.0,0.0
637.0,0.04193131469631514,0.9580686853036848,0.07356863787983356,0.10966860212443937,0.0,0.0,0.0
638.0,0.04193131469631514,0.9580686853036848,0.0735585063835434,0.10965924483020502,0.0,0.0,0.0
639.0,0.04193131469631514,0.9580686853036848,0.07359793436084214,0.10969565994883172,0.0,0.0,0.0
640.0,0.04193131469631514,0.9580686853036848,0.07364844003736717,0.10974230644923698,0.0,0.0,0.0
641.0,0.04193131469631514,0.9580686853036848,0.07365911099198912,0.1097521620536793,0.0,0.0,0.0
642.0,0.04193131469631514,0.9580686853036848,0.0736492703077297,0.10974307327968245,0.0,0.0,0.0
643.0,0.04193131469631514,0.9580686853036848,0.0736735084958861,0.10976545948188597,0.0,0.0,0.0
644.0,0.04193131469631514,0.9580686853036848,0.07369505281729291,0.1097853576880135,0.0,0.0,0.0
645.0,0.04193131469631514,0.9580686853036848,0.07362242048086749,0.10971827504155483,0.0,0.0,0.0
646.0,0.04193131469631514,0.9580686853036848,0.07346045591802462,0.10956868733952217,0.0,0.0,0.0
647.0,0.04193131469631514,0.9580686853036848,0.07330048148261518,0.1094209396858428,0.0,0.0,0.0
648.0,0.04193131469631514,0.9580686853036848,0.07315165541063443,0.10928349011591362,0.0,0.0,0.0
649.0,0.04193131469631514,0.9580686853036848,0.07294282162025124,0.10909062281455799,0.0,0.0,0.0
650.0,0.04193131469631514,0.9580686853036848,0.07269592675872291,0.10886260879036068,0.0,0.0,0.0
651.0,0.04193131469631514,0.9580686853036848,0.07251042962688463,0.10869130033116836,0.0,0.0,0.0
652.0,0.04193131469631514,0.9580686853036848,0.07239111488133208,0.10858111338121718,0.0,0.0,0.0
653.0,0.04193131469631514,0.9580686853036848,0.07219421739325377,0.10839928132831242,0.0,0.0,0.0
654.0,0.04193131469631514,0.9580686853036848,0.07181749203898523,0.10805138917078501,0.0,0.0,0.0
655.0,0.04193131469631514,0.9580686853036848,0.07132300906205595,0.10759476886474253,0.0,0.0,0.0
656.0,0.04193131469631514,0.9580686853036848,0.07082939164971938,0.10713896678881284,0.0,0.0,0.0
657.0,0.04193131469631514,0.9580686853036848,0.07036886220431114,0.10671373492113309,0.0,0.0,0.0
658.0,0.04193131469631514,0.9580686853036848,0.06986923165167944,0.10625241750424776,0.0,0.0,0.0
659.0,0.04193131469631514,0.9580686853036848,0.06924413056190416,0.10567527829818811,0.0,0.0,0.0
660.0,0.04193131469631514,0.9580686853036848,0.06847214265505286,0.1049625642764207,0.0,0.0,0.0
